AdaptChoice	Code = 70	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
70	1	1	0	1	0	1	3	16	0	4	3	4	1	1	12401	0	2	NaN
70	2	2	0	1	0	2	19	12	0	5	2	5	1	1	16913	0	2	1
70	3	3	0	1	0	3	31	19	0	4	5	4	1	1	10196	0	2	1
70	4	4	0	1	0	4	7	4	0	5	2	5	1	1	5109	0	2	1
70	5	5	0	1	0	5	13	8	0	2	3	3	2	1	6306	1	1	2
70	6	6	0	0	1	6	9	23	0	4	2	2	2	1	11255	1	1	1
70	7	7	0	0	1	7	11	38	0	4	5	4	1	1	6037	0	2	2
70	8	8	0	0	1	8	41	11	0	2	4	4	2	1	4329	1	1	2
70	9	9	0	0	1	9	41	26	0	3	4	4	2	1	2574	NaN	1	1
70	10	10	0	0	1	10	23	24	0	3	5	3	1	1	5932	1	2	2
70	1	1	1	1	0	1	36	2	0	4	5	4	1	1	7054	0	2	NaN
70	2	2	1	1	0	2	11	54	0	2	5	2	1	1	2155	0	2	1
70	3	3	1	1	0	3	32	53	0	2	3	2	1	1	2040	0	2	1
70	4	4	1	1	0	4	46	4	0	4	5	5	2	1	4731	1	1	2
70	5	5	1	1	0	5	18	9	0	5	3	5	1	1	3745	0	2	2
70	6	6	1	0	1	6	24	6	0	3	5	3	1	1	2746	0	2	1
70	7	7	1	0	1	7	6	12	0	2	4	2	1	1	1927	0	2	1
70	8	8	1	0	1	8	28	39	0	2	3	3	2	1	4055	1	1	2
70	9	9	1	0	1	9	7	3	0	2	3	2	1	1	2935	NaN	2	2
70	10	10	1	0	1	10	32	10	0	5	3	3	2	1	4144	0	1	2
70	11	11	1	0	1	11	43	46	0	2	4	2	1	1	2673	1	2	2
