AdaptChoice	Code = 56b	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
56b	124	28	2	1	0	4	18	25	0	4	2	2	2	1	5026	1	1	1
56b	125	29	2	1	0	5	49	4	0	3	4	4	2	1	3903	1	1	1
56b	126	30	2	0	1	6	46	20	0	2	5	5	2	1	6089	1	1	1
56b	127	31	2	0	1	7	44	48	0	2	3	3	2	1	3171	1	1	1
56b	128	32	2	0	1	8	45	1	0	2	5	5	2	1	1946	1	1	1
56b	129	33	2	0	1	9	35	29	0	2	3	3	2	1	1986	NaN	1	1
56b	130	34	2	0	1	10	1	52	0	5	3	3	2	1	11946	0	1	1
56b	131	35	2	0	1	11	30	45	0	3	4	4	2	1	8872	0	1	1
56b	132	36	2	0	1	12	48	53	0	5	4	4	2	1	2085	0	1	1
56b	133	37	2	2	0	1	48	33	0	2	4	4	2	1	15143	0	2	1
56b	134	38	2	2	0	2	21	18	0	3	5	5	2	1	5148	0	2	1
56b	135	39	2	2	0	3	44	10	0	5	2	2	2	1	2515	0	2	1
56b	136	40	2	2	0	4	47	37	0	5	4	4	2	1	8166	0	2	1
56b	137	41	2	2	0	5	51	47	0	2	5	5	2	1	8093	0	2	1
56b	138	42	2	0	2	6	9	36	0	2	3	4	0	0	4398	NaN	NaN	2
56b	139	43	2	0	2	7	29	6	0	5	3	3	2	1	14245	0	2	NaN
56b	140	44	2	0	2	8	51	1	0	2	4	4	2	1	5020	0	2	1
56b	141	45	2	0	2	9	1	23	0	4	2	2	2	1	4217	NaN	2	1
56b	142	46	2	0	2	10	33	32	0	2	4	4	2	1	3441	1	2	1
56b	143	47	2	0	2	11	39	35	0	5	2	2	2	1	4202	1	2	1
56b	144	48	2	0	2	12	11	40	0	2	5	5	2	1	4903	1	2	1
56b	145	49	2	1	0	1	21	13	0	2	5	5	2	1	3825	1	1	1
56b	146	50	2	1	0	2	54	12	0	4	2	2	2	1	2958	1	1	1
56b	147	51	2	1	0	3	1	9	0	4	3	3	2	1	3757	1	1	1
56b	148	52	2	1	0	4	54	13	0	4	5	5	2	1	4384	1	1	1
56b	149	53	2	1	0	5	53	23	0	2	5	5	2	1	5012	1	1	1
