MultiTargForag_2	Participant_Code = 56
Search_Type = 2	CB_Targets = 1
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1.000000	1.000000	1.000000	335.000000	147.000000	2.000000	339.568224	146.410330	1.000000	3.470496
1.000000	2.000000	2.000000	323.000000	226.000000	12.000000	315.116525	245.259605	1.000000	4.859903
1.000000	3.000000	3.000000	650.000000	261.000000	15.000000	637.917429	273.154225	1.000000	5.884003
1.000000	4.000000	4.000000	992.000000	259.000000	18.000000	1002.261489	267.846354	1.000000	7.291512
1.000000	5.000000	5.000000	1240.000000	285.000000	20.000000	1220.674211	288.220802	1.000000	8.299834
1.000000	6.000000	6.000000	961.000000	385.000000	28.000000	953.076690	371.359702	1.000000	9.282695
1.000000	7.000000	7.000000	957.000000	438.000000	38.000000	948.213999	444.804178	1.000000	9.899854
1.000000	8.000000	8.000000	1173.000000	540.000000	50.000000	1173.216322	547.431691	1.000000	10.762862
1.000000	9.000000	9.000000	1075.000000	602.000000	49.000000	1068.952466	591.142617	1.000000	11.444273
1.000000	10.000000	10.000000	1212.000000	905.000000	80.000000	1216.772193	900.827520	1.000000	12.986832
1.000000	11.000000	11.000000	902.000000	882.000000	77.000000	892.404591	870.306513	1.000000	14.716805
1.000000	12.000000	12.000000	656.000000	788.000000	65.000000	648.177666	775.723267	1.000000	15.658921
1.000000	13.000000	13.000000	541.000000	782.000000	64.000000	540.471940	785.185526	1.000000	16.740606
1.000000	14.000000	14.000000	312.000000	700.000000	52.000000	322.845560	715.914400	1.000000	17.708239
1.000000	15.000000	15.000000	402.000000	600.000000	43.000000	409.029427	593.665023	1.000000	18.330685
1.000000	16.000000	16.000000	500.000000	479.000000	34.000000	514.793145	481.742857	1.000000	19.139284
1.000000	17.000000	17.000000	546.000000	342.000000	24.000000	531.426216	358.582342	1.000000	20.132589
1.000000	18.000000	18.000000	655.000000	345.000000	25.000000	639.447107	354.084908	1.000000	20.770980
1.000000	19.000000	19.000000	740.000000	381.000000	26.000000	739.394871	390.086768	1.000000	21.475584
1.000000	20.000000	20.000000	868.000000	610.000000	47.000000	849.892268	605.663492	1.000000	23.627522
1.000000	21.000000	21.000000	231.000000	125.000000	1.000000	229.427440	120.035314	2.000000	29.068304
1.000000	22.000000	22.000000	563.000000	171.000000	4.000000	554.224217	185.258398	2.000000	30.258663
1.000000	23.000000	23.000000	1184.000000	465.000000	40.000000	1176.038963	473.871272	2.000000	33.252069
1.000000	24.000000	24.000000	771.000000	282.000000	16.000000	768.630785	278.126312	2.000000	34.523027
1.000000	25.000000	25.000000	336.000000	341.000000	22.000000	338.130385	347.625313	2.000000	35.595877
1.000000	26.000000	26.000000	185.000000	386.000000	21.000000	186.330380	385.325545	2.000000	36.291262
1.000000	27.000000	27.000000	226.000000	685.000000	51.000000	224.671569	671.349396	2.000000	37.459578
1.000000	28.000000	28.000000	208.000000	755.000000	61.000000	197.325834	760.969767	2.000000	38.083106
1.000000	29.000000	29.000000	628.000000	582.000000	45.000000	626.871988	574.565513	2.000000	39.242495
1.000000	30.000000	30.000000	628.000000	664.000000	55.000000	630.731257	661.075398	2.000000	39.763191
1.000000	31.000000	31.000000	989.000000	667.000000	58.000000	976.839864	667.358685	2.000000	40.707825
1.000000	32.000000	32.000000	974.000000	600.000000	48.000000	959.523394	588.692816	2.000000	41.235222
1.000000	33.000000	33.000000	893.000000	478.000000	37.000000	891.652378	468.752134	2.000000	41.860203
1.000000	34.000000	34.000000	1222.000000	835.000000	70.000000	1205.656957	823.439841	2.000000	43.420088
1.000000	35.000000	35.000000	971.000000	900.000000	78.000000	956.715738	886.512575	2.000000	44.779541
1.000000	36.000000	36.000000	749.000000	894.000000	76.000000	731.830960	891.799877	2.000000	45.572189
1.000000	37.000000	37.000000	634.000000	920.000000	75.000000	625.907513	915.805067	2.000000	46.180045
1.000000	38.000000	38.000000	551.000000	872.000000	74.000000	543.876999	874.110558	2.000000	46.962704
1.000000	39.000000	39.000000	299.000000	895.000000	72.000000	306.260945	902.520638	2.000000	47.708120
1.000000	40.000000	40.000000	875.000000	787.000000	67.000000	869.135963	777.643756	2.000000	59.075459
1.000000	1.000000	1.000000	317.000000	173.000000	2.000000	316.731890	170.021645	1.000000	1.433303
1.000000	2.000000	2.000000	440.000000	272.000000	13.000000	451.093665	257.355983	1.000000	2.227365
1.000000	3.000000	3.000000	413.000000	357.000000	23.000000	402.296938	361.226968	1.000000	3.082619
1.000000	4.000000	4.000000	506.000000	386.000000	24.000000	511.332001	396.151096	1.000000	3.675277
1.000000	5.000000	5.000000	962.000000	246.000000	18.000000	966.129845	236.944802	1.000000	4.970354
1.000000	6.000000	6.000000	1217.000000	142.000000	10.000000	1216.353286	138.548160	1.000000	5.729291
1.000000	7.000000	7.000000	1198.000000	491.000000	40.000000	1188.750518	479.362355	1.000000	6.722787
1.000000	8.000000	8.000000	983.000000	392.000000	28.000000	984.560225	376.709314	1.000000	7.458919
1.000000	9.000000	9.000000	328.000000	480.000000	32.000000	316.944286	482.658891	1.000000	8.425614
1.000000	10.000000	10.000000	232.000000	498.000000	31.000000	226.988389	494.058978	1.000000	9.146969
1.000000	11.000000	11.000000	233.000000	551.000000	41.000000	225.539204	559.029182	1.000000	9.625692
1.000000	12.000000	12.000000	218.000000	698.000000	51.000000	213.616867	700.033498	1.000000	10.313901
1.000000	13.000000	13.000000	223.000000	899.000000	71.000000	229.337187	892.126862	1.000000	11.307310
1.000000	14.000000	14.000000	633.000000	778.000000	65.000000	626.300335	771.814943	1.000000	12.098709
1.000000	15.000000	15.000000	946.000000	923.000000	78.000000	953.013394	922.530262	1.000000	12.874969
1.000000	16.000000	16.000000	744.000000	696.000000	56.000000	739.692774	689.086347	1.000000	13.843479
1.000000	17.000000	17.000000	995.000000	765.000000	68.000000	1001.226418	763.718552	1.000000	14.899393
1.000000	18.000000	18.000000	988.000000	602.000000	48.000000	986.761624	598.464268	1.000000	15.802784
1.000000	19.000000	19.000000	966.000000	483.000000	38.000000	965.999934	489.923387	1.000000	16.370339
1.000000	20.000000	20.000000	771.000000	483.000000	36.000000	765.743874	473.877572	1.000000	16.995360
1.000000	21.000000	21.000000	214.000000	369.000000	21.000000	211.965217	379.529642	2.000000	21.697315
1.000000	22.000000	22.000000	227.000000	240.000000	11.000000	231.319873	225.324326	2.000000	22.314136
1.000000	23.000000	23.000000	323.000000	282.000000	12.000000	323.934137	279.317571	2.000000	22.858821
1.000000	24.000000	24.000000	400.000000	191.000000	3.000000	410.936610	182.371797	2.000000	23.450296
1.000000	25.000000	25.000000	543.000000	191.000000	4.000000	536.832979	186.429046	2.000000	24.026892
1.000000	26.000000	26.000000	637.000000	168.000000	5.000000	641.671664	158.787574	2.000000	24.499067
1.000000	27.000000	27.000000	737.000000	128.000000	6.000000	743.845359	126.945671	2.000000	24.955291
1.000000	28.000000	28.000000	883.000000	138.000000	7.000000	884.048328	136.998053	2.000000	25.507093
1.000000	29.000000	29.000000	1223.000000	243.000000	20.000000	1215.559655	249.200812	2.000000	27.786263
1.000000	30.000000	30.000000	854.000000	485.000000	37.000000	864.224656	488.889829	2.000000	29.138382
1.000000	31.000000	31.000000	514.000000	446.000000	34.000000	512.001716	440.807485	2.000000	29.979276
1.000000	32.000000	32.000000	416.000000	694.000000	53.000000	423.012762	686.944187	2.000000	31.577353
1.000000	33.000000	33.000000	517.000000	706.000000	54.000000	517.498203	703.860924	2.000000	32.457596
1.000000	34.000000	34.000000	548.000000	819.000000	64.000000	552.087715	804.299267	2.000000	33.362269
1.000000	35.000000	35.000000	308.000000	790.000000	62.000000	311.055442	776.338852	2.000000	34.234312
1.000000	36.000000	36.000000	664.000000	932.000000	75.000000	651.903002	918.743654	2.000000	35.147242
1.000000	37.000000	37.000000	732.000000	920.000000	76.000000	731.840356	914.415595	2.000000	35.513157
1.000000	38.000000	38.000000	761.000000	817.000000	66.000000	761.122355	807.455312	2.000000	36.066311
1.000000	39.000000	39.000000	1075.000000	886.000000	79.000000	1079.281411	895.309129	2.000000	36.985584
1.000000	40.000000	40.000000	1194.000000	747.000000	70.000000	1181.967959	755.439017	2.000000	37.745399
2.000000	1.000000	1.000000	307.000000	130.000000	2.000000	294.249423	126.179931	1.000000	2.290711
2.000000	2.000000	2.000000	421.000000	157.000000	3.000000	414.808231	170.301760	1.000000	3.051133
2.000000	3.000000	3.000000	768.000000	114.000000	6.000000	781.349517	121.619758	1.000000	4.146904
2.000000	4.000000	4.000000	1179.000000	155.000000	10.000000	1179.732148	166.776983	1.000000	5.034867
2.000000	5.000000	5.000000	738.000000	242.000000	16.000000	731.232525	242.656890	1.000000	6.628352
2.000000	6.000000	6.000000	677.000000	235.000000	15.000000	671.090941	233.892901	1.000000	7.082279
2.000000	7.000000	7.000000	438.000000	467.000000	33.000000	438.380370	461.120242	1.000000	8.827384
2.000000	8.000000	8.000000	550.000000	464.000000	34.000000	552.159421	472.316676	1.000000	9.268274
2.000000	9.000000	9.000000	658.000000	464.000000	35.000000	637.057511	466.239450	1.000000	9.820112
2.000000	10.000000	10.000000	650.000000	405.000000	25.000000	638.757666	395.819625	1.000000	10.291954
2.000000	11.000000	11.000000	774.000000	478.000000	36.000000	774.012179	489.012023	1.000000	10.979217
2.000000	12.000000	12.000000	1194.000000	579.000000	50.000000	1180.331086	593.373369	1.000000	12.547132
2.000000	13.000000	13.000000	1222.000000	759.000000	70.000000	1203.228550	762.476303	1.000000	13.355758
2.000000	14.000000	14.000000	979.000000	767.000000	68.000000	967.682959	761.207059	1.000000	14.035293
2.000000	15.000000	15.000000	895.000000	765.000000	67.000000	891.889607	756.853490	1.000000	14.491353
2.000000	16.000000	16.000000	652.000000	723.000000	55.000000	649.669259	714.634759	1.000000	15.196334
2.000000	17.000000	17.000000	557.000000	662.000000	54.000000	543.438118	658.739176	1.000000	15.843447
2.000000	18.000000	18.000000	537.000000	762.000000	64.000000	530.771569	755.815583	1.000000	16.771738
2.000000	19.000000	19.000000	332.000000	900.000000	72.000000	327.662170	912.669055	1.000000	17.635848
2.000000	20.000000	20.000000	1064.000000	884.000000	79.000000	1064.836795	884.134256	1.000000	20.868311
2.000000	21.000000	21.000000	189.000000	347.000000	21.000000	181.841036	353.641678	2.000000	23.548279
2.000000	22.000000	22.000000	529.000000	177.000000	4.000000	526.080236	171.435499	2.000000	24.468093
2.000000	23.000000	23.000000	535.000000	271.000000	14.000000	535.306762	278.439643	2.000000	25.003137
2.000000	24.000000	24.000000	417.000000	279.000000	13.000000	412.006287	292.563357	2.000000	25.546719
2.000000	25.000000	25.000000	1091.000000	289.000000	19.000000	1077.038858	291.760131	2.000000	26.796436
