"subj","medianRT_homo","medianRT_hetro","propHomo"
"1","1",1.769,2.508,0.111475409836066
"2","10",1.815,6.085,0.794701986754967
"3","11",1.634,1.925,0.0976744186046512
"4","12",1.905,8.124,0.899328859060403
"5","13",1.54,1.9895,0.138888888888889
"6","14",1.846,4.2005,0.496644295302013
"7","15",1.763,2.955,0.273356401384083
"8","16",1.9435,7.165,0.723549488054608
"9","4",1.624,2.825,0.489583333333333
"10","5",1.7085,2.305,0.296296296296296
"11","6",1.594,1.873,0.0128205128205128
"12","7",1.704,2.293,0.111913357400722
"13","8",1.8555,4.904,0.744827586206897
"14","9",1.861,4.665,0.676767676767677
