MultiTargForag_2	Participant_Code = 59a
Search_Type = 2	CB_Targets = 4
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1.000000	1.000000	1.000000	657.000000	396.000000	25.000000	644.704165	390.700989	1.000000	3.456621
1.000000	2.000000	2.000000	761.000000	264.000000	16.000000	753.457647	281.025477	1.000000	5.221625
1.000000	3.000000	3.000000	544.000000	478.000000	34.000000	527.965979	482.590492	2.000000	7.526324
1.000000	4.000000	4.000000	844.000000	480.000000	37.000000	845.882472	490.266308	1.000000	9.445668
1.000000	5.000000	5.000000	964.000000	501.000000	38.000000	966.080797	504.194096	2.000000	12.229473
1.000000	6.000000	6.000000	1096.000000	518.000000	39.000000	1085.410173	506.809822	1.000000	14.255432
1.000000	7.000000	7.000000	774.000000	444.000000	36.000000	763.415378	439.027432	2.000000	17.365920
1.000000	8.000000	8.000000	997.000000	375.000000	28.000000	1000.532770	380.370889	1.000000	18.711145
1.000000	9.000000	9.000000	1001.000000	242.000000	18.000000	998.785884	242.406876	1.000000	20.487473
1.000000	10.000000	10.000000	1182.000000	251.000000	20.000000	1183.544997	267.306116	1.000000	22.109752
1.000000	11.000000	11.000000	1180.000000	192.000000	10.000000	1173.962264	184.315757	2.000000	22.878950
1.000000	12.000000	12.000000	1111.000000	170.000000	9.000000	1091.877201	161.442358	2.000000	23.837955
1.000000	13.000000	13.000000	564.000000	162.000000	4.000000	557.407584	157.917593	1.000000	26.478778
1.000000	14.000000	14.000000	453.000000	270.000000	13.000000	439.788920	275.328347	1.000000	27.382953
1.000000	15.000000	15.000000	442.000000	345.000000	23.000000	435.234357	359.905774	1.000000	28.463497
1.000000	16.000000	16.000000	345.000000	290.000000	12.000000	330.809847	287.027900	2.000000	30.007530
1.000000	17.000000	17.000000	213.000000	335.000000	21.000000	202.332948	346.625568	2.000000	30.909983
1.000000	18.000000	18.000000	398.000000	196.000000	3.000000	399.920238	180.702723	2.000000	31.853324
1.000000	19.000000	19.000000	245.000000	187.000000	1.000000	230.291267	188.328465	1.000000	33.038802
1.000000	20.000000	20.000000	205.000000	470.000000	31.000000	214.427483	473.009029	2.000000	35.662022
1.000000	21.000000	21.000000	299.000000	547.000000	42.000000	291.912013	561.427603	1.000000	36.719213
1.000000	22.000000	22.000000	197.000000	694.000000	51.000000	182.352654	702.137860	2.000000	38.511181
