observer,ls_prop_homo,ls_prop_hetero,ls_median_rt,ls_mean_log_rt,ac_acc,ac_rt,ac_propOpt,ac_switchRate,ac_meanlog2rt,fg_feat_log2,fg_conj_log2,fg_conj_run_num,fg_conj_run_length
43,0.3279166666666667,0.6720833333333334,2498,11.499319972353414,0.979167,2896.24,0.384615,0.40293,11.292,14.4378,14.8825,14.35,3.72253
44,0.17875,0.82125,2307,11.44406590240616,0.986111,3521.61,0.584746,0.288809,11.596,14.7756,15.2776,2.1,19.3333
45,0.5109649122807017,0.48903508771929827,3194.5,11.74348844126497,0.96875,3838.49,0.469565,0,11.8498,15.0202,15.7322,39.85,1.00405
46,0.022747747747747748,0.9772522522522522,1705,10.798271972196467,0.996528,2918.65,0.491667,0.265018,11.3287,14.5248,14.8971,13.2,3.51559
47,0.32763713080168777,0.6723628691983122,3023.5,11.70914245985017,0.958333,3495.65,0.552632,0.475096,11.5646,14.6173,15.1671,11.3,4.12923
49,0.9422222222222222,0.057777777777777775,NA,NA,0.993056,2098.94,0.95,0.0960854,10.969,NA,NA,NA,NA
50,0.8128888888888889,0.18711111111111112,7961,12.88797056859026,0.996528,3956.95,0.466667,0.399293,11.6764,NA,NA,NA,NA
51,0.48486842105263156,0.5151315789473684,12558,13.410705415829142,0.972222,5113.72,0.432203,0.505576,12.1243,NA,NA,NA,NA
52,0.13627450980392156,0.8637254901960785,1978,11.003792657043533,0.954861,2556.77,0.628319,0.185328,11.1991,NA,NA,NA,NA
53,0.059375,0.940625,1914,10.970675453661405,0.986111,2570.55,0.957983,0.162455,11.2923,14.495,14.7292,9.7,4.73243
54,0.32526041666666666,0.6747395833333333,NA,NA,0.90625,3101.31,0.514019,0.194915,11.3859,14.8815,14.9022,2.05,19.6667
55,0.14583333333333334,0.8541666666666666,2203,11.125942999768393,0.972222,3576.68,0.641026,0.371747,11.5857,14.7623,14.7913,2.2,19.3333
59,0.6408119658119659,0.3591880341880342,3326,11.982361297037015,0.993056,2787.45,0.975,0.11032,11.3236,14.8005,15.1599,2.4,18.0667
60,0.23217592592592592,0.767824074074074,2656,11.481986755737585,0.989583,3815.65,0.655462,0.215054,11.6935,15.1241,15.3839,7.65,11.1294
61,0.109009009009009,0.890990990990991,3106,11.756092589625426,0.989583,4136.01,0.478992,0.100358,11.74,14.9247,15.8008,10.95,3.72908
62,0.146875,0.853125,1994.5,11.098375662778603,0.979167,3041.49,0.504274,0.260073,11.3015,14.5332,15.1777,16.2,2.59328
63,0.40797101449275364,0.5920289855072464,2438,11.484748187780715,0.944444,5588.7,0.582609,0.394531,12.2619,14.9768,15.3432,8.95,5.24452
64,0.6811594202898551,0.3188405797101449,9070,13.160421141595778,0.972222,2589.22,0.59322,0.237918,11.2544,14.6628,15.0539,2.25,19
65,0.20897435897435898,0.791025641025641,2338,11.181835730084522,0.972222,2598.3,0.955752,0.171004,11.2312,14.4676,15.0893,2.05,19.6667
66,0.20448717948717948,0.7955128205128206,2458,11.380663215180627,0.982639,2591.87,0.5,0.0727273,11.183,14.538,15.1108,15.05,5.23377
4,NA,NA,NA,NA,0.920139,3850.62,0.477477,0.322314,11.605,14.4213,15.0584,10.8333,4.1857
15,NA,NA,NA,NA,0.982639,2968.54,0.462185,0.483636,11.31,14.7159,14.825,2.05,19.6667
21,NA,NA,NA,NA,0.96875,3044.68,0.655462,0.141791,11.4445,14.964,15.0416,2.75,17.6667
33,NA,NA,NA,NA,0.996528,2622.47,0.554622,0.141343,11.1941,14.8077,14.9425,2.7,17.5333
56,NA,NA,NA,NA,0.982639,5112.03,0.533898,0.0505415,12.1499,15.0307,15.1505,2.1,19.3333
58,NA,NA,NA,NA,0.989583,3111.95,0.521008,0.193548,11.4991,14.4849,15.0092,2.15,19
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9142,15.3226,12.65,3.41045
