observer,ls_prop_homo,ls_prop_hetero,ls_median_rt,ls_mean_log_rt,ac_acc,ac_rt,ac_propOpt,ac_switchRate,ac_meanlog2rt,fg_feat_log2,fg_conj_log2,fg_conj_run_num,fg_conj_run_length
53,0.059375,0.940625,1914,10.97067545,0.986111,2570.55,0.957983,0.162455,11.21368739,14.495,14.7292,9.7,4.73243
54,0.325260417,0.674739583,NA,NA,0.90625,3101.31,0.514019,0.194915,11.37534832,14.8815,14.9022,2.05,19.6667
55,0.145833333,0.854166667,2203,11.125943,0.972222,3576.68,0.641026,0.371747,11.57756492,14.7623,14.7913,2.2,19.3333
59,0.640811966,0.359188034,3326,11.9823613,0.993056,2787.45,0.975,0.11032,11.28510563,14.8005,15.1599,2.4,18.0667
60,0.232175926,0.767824074,2656,11.48198676,0.989583,3815.65,0.655462,0.215054,11.68360625,15.1241,15.3839,7.65,11.1294
61,0.109009009,0.890990991,3106,11.75609259,0.989583,4136.01,0.478992,0.100358,11.78992959,14.9247,15.8008,10.95,3.72908
62,0.146875,0.853125,1994.5,11.09837566,0.979167,3041.49,0.504274,0.260073,11.34581114,14.5332,15.1777,16.2,2.59328
63,0.407971014,0.592028986,2438,11.48474819,0.944444,5588.7,0.582609,0.394531,12.20597285,14.9768,15.3432,8.95,5.24452
64,0.68115942,0.31884058,9070,13.16042114,0.972222,2589.22,0.59322,0.237918,11.16667993,14.6628,15.0539,2.25,19
65,0.208974359,0.791025641,2338,11.18183573,0.972222,2598.3,0.955752,0.171004,11.17226669,14.4676,15.0893,2.05,19.6667
66,0.204487179,0.795512821,2458,11.38066322,0.982639,2591.87,0.5,0.0727273,11.15327054,14.538,15.1108,15.05,5.23377
67,,,,,0.996527778,2633.704626,0.975,0.130742049,11.25310605,14.79703449,14.88198192,2.3,18.66666667
68,,,,,0.986111111,2470.585106,1,0.086642599,11.13619153,14.44013096,14.79067721,5.45,14.66059219
69,,,,,0.982638889,3799.70696,0.669491525,0.247272727,11.69484706,15.19902846,15.49135741,16.1,2.58579239
70,,,,,0.989583333,3251.046263,0.43220339,0.444444444,11.49088865,15.07916494,14.90811194,2.2,18.83333333
71,,,,,0.902777778,3455.709804,0.571428571,0.25862069,11.55006859,14.68286519,14.83311326,4.05,16.45050125
72,,,,,1,3145.585965,0.841666667,0.136842105,11.45917804,14.70574323,14.90473045,2.5,17.61904762
73,,,,,0.986111111,3476.935252,0.504201681,0.277978339,11.54999906,14.68169487,14.94161819,2.4,18.58333333
74,,,,,0.972222222,3817.699634,0.45,0.408921933,11.64507901,14.67514861,14.9102956,12.63157895,4.466307469
75,,,,,0.947916667,2685.022472,0.556521739,0.560784314,11.20962534,14.8345374,14.83519771,12.3,4.2425896
4,NA,NA,NA,NA,0.920139,3850.62,0.477477,0.322314,11.59284505,14.4213,15.0584,10.8333,4.1857
21,NA,NA,NA,NA,0.96875,3044.68,0.655462,0.141791,11.39922936,14.964,15.0416,2.75,17.6667
33,NA,NA,NA,NA,0.996528,2622.47,0.554622,0.141343,11.18837789,14.8077,14.9425,2.7,17.5333
56,NA,NA,NA,NA,0.982639,5112.03,0.533898,0.0505415,12.11243354,15.0307,15.1505,2.1,19.3333
58,NA,NA,NA,NA,0.989583,3111.95,0.521008,0.193548,11.41139957,14.4849,15.0092,2.15,19
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9142,15.3226,12.65,3.41045
