AdaptChoice	Code = 77	Session = 1	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
77	67	67	1	0	2	7	28	2	0	4	3	4	1	1	3003	1	1	1
77	68	68	1	0	2	8	6	1	0	3	2	3	1	1	3680	1	1	1
77	69	69	1	0	2	9	47	52	0	3	4	3	1	1	3803	NaN	1	1
77	70	70	1	0	2	10	49	1	0	5	4	4	2	1	2257	1	2	2
77	71	71	1	0	2	11	53	7	0	5	3	3	2	1	3211	1	2	1
77	72	72	1	0	2	12	6	20	0	5	3	3	2	1	2517	1	2	1
77	73	73	1	1	0	1	28	13	0	5	2	2	2	1	1565	1	1	1
77	74	74	1	1	0	2	19	28	0	3	5	5	2	1	3789	1	1	1
77	75	75	1	1	0	3	41	45	0	4	5	5	2	1	2615	1	1	1
77	76	76	1	1	0	4	8	37	0	5	4	4	2	1	1504	1	1	1
77	77	77	1	1	0	5	20	9	0	3	2	2	2	1	3067	1	1	1
77	78	78	1	0	1	6	19	22	0	5	2	2	2	1	2322	1	1	1
77	79	79	1	0	1	7	21	34	0	5	4	4	2	1	1330	1	1	1
77	80	80	1	0	1	8	7	24	0	3	4	4	2	1	1982	1	1	1
77	81	81	1	0	1	9	24	25	0	5	3	3	2	1	3627	NaN	1	1
77	82	82	1	0	1	10	50	19	0	4	3	4	1	1	2625	1	2	2
77	83	83	1	0	1	11	5	41	0	4	3	4	1	1	3134	1	2	1
77	84	84	1	0	1	12	33	43	0	3	5	3	1	1	2698	1	2	1
77	85	85	1	2	0	1	9	40	0	2	3	2	1	1	754	1	1	1
77	86	86	1	2	0	2	17	14	0	4	2	4	1	1	878	1	1	1
77	87	87	1	2	0	3	6	1	0	4	2	4	1	1	2457	1	1	1
