AdaptChoice	Code = 30	Session = 1	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
30	1	1	0	1	0	1	40	16	0	3	5	5	2	1	21485	1	1	NaN
30	2	2	0	1	0	2	2	1	0	3	4	4	2	1	8759	1	1	1
30	3	3	0	1	0	3	36	17	0	4	5	5	2	1	6296	1	1	1
30	4	4	0	1	0	4	18	15	0	4	5	5	2	1	3055	1	1	1
30	5	5	0	1	0	5	26	29	0	5	2	5	1	1	3026	0	2	2
30	6	6	0	0	1	6	11	50	0	4	3	3	2	1	18240	1	1	2
30	7	7	0	0	1	7	10	3	0	3	2	3	1	1	5730	0	2	2
30	8	8	0	0	1	8	23	32	0	2	4	4	2	1	4806	1	1	2
30	9	9	0	0	1	9	43	32	0	3	4	4	2	1	3864	NaN	1	1
30	10	10	0	0	1	10	27	24	0	2	4	4	2	1	3275	0	1	1
30	1	1	1	1	0	1	1	41	0	2	5	5	2	1	5922	1	1	NaN
30	2	2	1	1	0	2	17	32	0	3	4	4	2	1	2705	1	1	1
30	3	3	1	1	0	3	11	36	0	3	2	2	2	1	8661	1	1	1
30	4	4	1	1	0	4	27	34	0	4	5	5	2	1	4384	1	1	1
30	5	5	1	1	0	5	27	33	0	3	4	4	2	1	1177	1	1	1
30	6	6	1	0	1	6	10	4	0	4	2	2	2	1	2022	1	1	1
30	7	7	1	0	1	7	22	5	0	2	3	3	2	1	3252	1	1	1
30	8	8	1	0	1	8	37	54	0	5	4	4	2	1	1770	1	1	1
30	9	9	1	0	1	9	36	32	0	3	2	2	2	1	1187	NaN	1	1
30	10	10	1	0	1	10	19	5	0	5	2	2	2	1	1908	0	1	1
30	11	11	1	0	1	11	43	46	0	5	4	5	1	1	6527	1	2	2
30	12	12	1	0	1	12	41	39	0	2	5	2	1	1	1875	1	2	1
30	13	13	1	2	0	1	12	54	0	5	3	5	1	1	4650	1	1	1
30	14	14	1	2	0	2	53	41	0	5	2	5	1	1	1440	1	1	1
30	15	15	1	2	0	3	27	24	0	4	2	4	1	1	2226	1	1	1
30	16	16	1	2	0	4	52	28	0	4	5	4	1	1	1360	1	1	1
30	17	17	1	2	0	5	22	28	0	3	5	5	2	1	4481	0	2	2
