MultiTargForag_2	Participant_Code = 70
Search_Type = 1	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	1.000000	213.388294	158.214650	1.000000	3.000000
1.000000	2.000000	306.771165	151.325096	1.000000	4.000000
1.000000	3.000000	439.702624	178.320378	1.000000	2.000000
1.000000	4.000000	523.612654	180.516695	1.000000	4.000000
1.000000	5.000000	657.845455	187.097159	1.000000	1.000000
1.000000	6.000000	756.535943	122.566284	1.000000	3.000000
1.000000	7.000000	863.335146	167.429597	1.000000	3.000000
1.000000	8.000000	991.059224	159.000684	1.000000	4.000000
1.000000	9.000000	1107.432845	183.035494	1.000000	4.000000
1.000000	10.000000	1178.250018	119.479376	1.000000	1.000000
1.000000	11.000000	229.809839	256.451231	1.000000	4.000000
1.000000	12.000000	314.260078	285.118645	1.000000	4.000000
1.000000	13.000000	419.236611	275.195273	1.000000	1.000000
1.000000	14.000000	551.662517	230.128856	1.000000	2.000000
1.000000	15.000000	623.122567	256.171805	1.000000	4.000000
1.000000	16.000000	775.218572	243.910659	1.000000	3.000000
1.000000	17.000000	886.332980	229.677359	1.000000	2.000000
1.000000	18.000000	978.333356	273.910619	1.000000	1.000000
1.000000	19.000000	1107.079852	229.634517	1.000000	4.000000
1.000000	20.000000	1195.835233	276.920495	1.000000	4.000000
1.000000	21.000000	202.521080	358.680938	1.000000	1.000000
1.000000	22.000000	293.494061	393.193144	1.000000	2.000000
1.000000	23.000000	407.737730	383.469946	1.000000	3.000000
1.000000	24.000000	554.415075	390.550356	1.000000	2.000000
1.000000	25.000000	638.727593	392.669760	1.000000	1.000000
1.000000	26.000000	757.518389	351.268671	1.000000	2.000000
1.000000	27.000000	879.343123	392.424226	1.000000	3.000000
1.000000	28.000000	987.485293	365.165079	1.000000	1.000000
1.000000	29.000000	1091.245201	399.941372	1.000000	2.000000
1.000000	30.000000	1191.760965	336.629275	1.000000	2.000000
1.000000	31.000000	200.503506	448.941760	1.000000	2.000000
1.000000	32.000000	293.732282	460.131445	1.000000	4.000000
1.000000	33.000000	436.369052	451.082828	1.000000	3.000000
1.000000	34.000000	534.315470	445.793232	1.000000	4.000000
1.000000	35.000000	633.450381	482.956846	1.000000	1.000000
1.000000	36.000000	778.880026	494.933663	1.000000	3.000000
1.000000	37.000000	882.559835	498.851137	1.000000	4.000000
1.000000	38.000000	952.693082	437.958184	1.000000	2.000000
1.000000	39.000000	1112.255471	469.620189	1.000000	1.000000
1.000000	40.000000	1167.812237	491.584502	1.000000	2.000000
1.000000	41.000000	227.959066	594.876537	1.000000	3.000000
1.000000	42.000000	313.247951	549.625119	1.000000	1.000000
1.000000	43.000000	449.742935	562.114386	1.000000	1.000000
1.000000	44.000000	507.643631	591.531204	1.000000	2.000000
1.000000	45.000000	636.252598	559.723609	1.000000	2.000000
1.000000	46.000000	763.486737	542.534802	1.000000	3.000000
1.000000	47.000000	856.327046	582.653008	1.000000	2.000000
1.000000	48.000000	960.891495	611.525770	1.000000	1.000000
1.000000	49.000000	1095.417789	595.381387	1.000000	2.000000
1.000000	50.000000	1173.343460	546.993530	1.000000	3.000000
1.000000	51.000000	213.895098	654.862841	1.000000	3.000000
1.000000	52.000000	311.885869	677.427315	1.000000	3.000000
1.000000	53.000000	407.829746	701.516201	1.000000	1.000000
1.000000	54.000000	549.847054	649.298951	1.000000	1.000000
1.000000	55.000000	670.681710	661.721239	1.000000	2.000000
1.000000	56.000000	768.433296	689.478150	1.000000	1.000000
1.000000	57.000000	863.528707	655.719064	1.000000	1.000000
1.000000	58.000000	998.428585	707.644858	1.000000	4.000000
1.000000	59.000000	1058.780223	650.511750	1.000000	4.000000
1.000000	60.000000	1203.504529	716.396055	1.000000	1.000000
1.000000	61.000000	197.788948	761.796228	1.000000	3.000000
1.000000	62.000000	306.227322	819.822818	1.000000	3.000000
1.000000	63.000000	432.843180	759.400066	1.000000	4.000000
1.000000	64.000000	549.195789	761.457316	1.000000	3.000000
1.000000	65.000000	651.062166	804.010955	1.000000	3.000000
1.000000	66.000000	751.605989	776.668030	1.000000	2.000000
1.000000	67.000000	887.156124	789.739408	1.000000	3.000000
1.000000	68.000000	963.328181	806.976284	1.000000	1.000000
1.000000	69.000000	1105.369047	757.562388	1.000000	2.000000
1.000000	70.000000	1193.006264	817.001787	1.000000	2.000000
1.000000	71.000000	231.336707	925.855946	1.000000	4.000000
1.000000	72.000000	313.136414	879.247380	1.000000	4.000000
1.000000	73.000000	431.934949	925.007726	1.000000	3.000000
1.000000	74.000000	554.917527	928.405969	1.000000	4.000000
1.000000	75.000000	654.088050	907.122390	1.000000	2.000000
1.000000	76.000000	747.019172	925.413285	1.000000	4.000000
1.000000	77.000000	867.129475	919.240707	1.000000	4.000000
1.000000	78.000000	974.470552	886.770957	1.000000	3.000000
1.000000	79.000000	1069.617567	921.948989	1.000000	1.000000
1.000000	80.000000	1200.491280	912.315250	1.000000	1.000000
2.000000	1.000000	209.532541	175.373300	1.000000	2.000000
2.000000	2.000000	294.264853	175.562799	1.000000	2.000000
2.000000	3.000000	448.507859	133.051942	1.000000	3.000000
2.000000	4.000000	530.031078	172.229603	1.000000	3.000000
2.000000	5.000000	635.881234	119.336748	1.000000	2.000000
2.000000	6.000000	747.672838	122.780740	1.000000	4.000000
2.000000	7.000000	891.838125	134.247784	1.000000	4.000000
2.000000	8.000000	962.701340	131.097305	1.000000	1.000000
2.000000	9.000000	1099.142380	161.366289	1.000000	1.000000
2.000000	10.000000	1221.680027	181.148833	1.000000	4.000000
2.000000	11.000000	193.844698	272.290436	1.000000	3.000000
2.000000	12.000000	312.330156	242.928291	1.000000	1.000000
2.000000	13.000000	405.462308	227.428837	1.000000	3.000000
2.000000	14.000000	528.661396	260.970843	1.000000	2.000000
2.000000	15.000000	623.601831	292.304468	1.000000	1.000000
2.000000	16.000000	756.474982	246.949502	1.000000	2.000000
2.000000	17.000000	847.007806	283.270542	1.000000	1.000000
2.000000	18.000000	994.085220	278.921248	1.000000	1.000000
2.000000	19.000000	1063.912971	275.492516	1.000000	2.000000
2.000000	20.000000	1192.803445	273.784455	1.000000	2.000000
2.000000	21.000000	232.152178	336.915330	1.000000	1.000000
2.000000	22.000000	320.222247	370.976809	1.000000	4.000000
2.000000	23.000000	448.983683	366.563965	1.000000	2.000000
2.000000	24.000000	561.579686	397.869336	1.000000	4.000000
2.000000	25.000000	628.193064	341.320301	1.000000	3.000000
2.000000	26.000000	732.330497	394.596523	1.000000	1.000000
2.000000	27.000000	880.603681	400.411361	1.000000	3.000000
2.000000	28.000000	955.559888	390.420391	1.000000	3.000000
2.000000	29.000000	1058.671814	400.252083	1.000000	4.000000
2.000000	30.000000	1222.010909	365.135175	1.000000	1.000000
2.000000	31.000000	226.126410	469.694893	1.000000	2.000000
2.000000	32.000000	298.729393	469.871280	1.000000	3.000000
2.000000	33.000000	419.696974	468.699048	1.000000	4.000000
2.000000	34.000000	545.794859	475.879559	1.000000	4.000000
2.000000	35.000000	652.253021	446.731129	1.000000	4.000000
2.000000	36.000000	768.895308	504.376993	1.000000	1.000000
2.000000	37.000000	886.645404	475.263095	1.000000	4.000000
2.000000	38.000000	985.872051	450.577802	1.000000	1.000000
2.000000	39.000000	1067.383851	451.259079	1.000000	3.000000
2.000000	40.000000	1171.258904	484.790136	1.000000	1.000000
2.000000	41.000000	197.351367	583.971635	1.000000	1.000000
2.000000	42.000000	303.060920	579.622399	1.000000	4.000000
2.000000	43.000000	436.789157	578.442869	1.000000	3.000000
2.000000	44.000000	533.594798	589.447275	1.000000	2.000000
2.000000	45.000000	671.260714	546.469388	1.000000	3.000000
2.000000	46.000000	765.031074	577.872946	1.000000	1.000000
2.000000	47.000000	891.981714	565.725800	1.000000	4.000000
2.000000	48.000000	988.992112	583.131616	1.000000	1.000000
2.000000	49.000000	1089.257340	545.017148	1.000000	4.000000
2.000000	50.000000	1218.478331	597.997075	1.000000	3.000000
2.000000	51.000000	185.585130	673.618144	1.000000	2.000000
2.000000	52.000000	305.760701	673.675871	1.000000	4.000000
2.000000	53.000000	427.097873	676.340570	1.000000	3.000000
2.000000	54.000000	539.751513	690.989425	1.000000	1.000000
2.000000	55.000000	660.854547	698.889063	1.000000	2.000000
2.000000	56.000000	781.876652	652.840650	1.000000	2.000000
2.000000	57.000000	844.557800	664.982160	1.000000	3.000000
2.000000	58.000000	995.001549	707.691528	1.000000	4.000000
2.000000	59.000000	1102.811489	701.686326	1.000000	4.000000
2.000000	60.000000	1189.871906	712.618295	1.000000	4.000000
2.000000	61.000000	190.571628	819.473829	1.000000	3.000000
2.000000	62.000000	327.192750	772.877246	1.000000	3.000000
2.000000	63.000000	405.629098	795.247403	1.000000	2.000000
2.000000	64.000000	508.526010	785.948561	1.000000	2.000000
2.000000	65.000000	639.507852	770.501154	1.000000	4.000000
2.000000	66.000000	734.915136	803.393677	1.000000	4.000000
2.000000	67.000000	877.060666	755.188614	1.000000	4.000000
2.000000	68.000000	961.714388	823.663952	1.000000	1.000000
2.000000	69.000000	1073.290351	816.330076	1.000000	2.000000
