MultiTargForag_2	Participant_Code = 63a
Search_Type = 2	CB_Targets = 1
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	1.000000	207.573561	125.286931	2.000000	3.000000
1.000000	2.000000	337.627813	149.678155	1.000000	1.000000
1.000000	3.000000	427.768609	187.910478	2.000000	2.000000
1.000000	4.000000	534.544271	136.745392	1.000000	1.000000
1.000000	5.000000	637.629345	153.244580	1.000000	4.000000
1.000000	6.000000	741.128432	180.833294	1.000000	4.000000
1.000000	7.000000	858.418276	132.483561	2.000000	2.000000
1.000000	8.000000	989.996264	126.131789	2.000000	2.000000
1.000000	9.000000	1088.970480	145.723587	2.000000	2.000000
1.000000	10.000000	1189.774723	154.463582	2.000000	2.000000
1.000000	11.000000	211.406271	226.482454	1.000000	1.000000
1.000000	12.000000	314.302868	276.983353	1.000000	4.000000
1.000000	13.000000	421.878777	238.013532	1.000000	1.000000
1.000000	14.000000	538.535323	245.602233	2.000000	3.000000
1.000000	15.000000	648.875983	279.045474	1.000000	1.000000
1.000000	16.000000	741.200101	285.128207	1.000000	4.000000
1.000000	17.000000	841.126342	267.566521	2.000000	2.000000
1.000000	18.000000	950.885566	235.585823	1.000000	4.000000
1.000000	19.000000	1089.159104	287.552486	1.000000	1.000000
1.000000	20.000000	1171.809862	266.005979	1.000000	1.000000
1.000000	21.000000	192.614911	389.902572	2.000000	3.000000
1.000000	22.000000	288.090923	348.921971	1.000000	4.000000
1.000000	23.000000	442.028867	348.622475	2.000000	3.000000
1.000000	24.000000	511.066904	351.991286	1.000000	4.000000
1.000000	25.000000	663.016775	377.127310	2.000000	3.000000
1.000000	26.000000	761.695440	388.230331	1.000000	4.000000
1.000000	27.000000	860.014688	337.680141	1.000000	1.000000
1.000000	28.000000	977.380988	395.292900	1.000000	1.000000
1.000000	29.000000	1088.213117	344.484029	2.000000	3.000000
1.000000	30.000000	1171.500116	361.158045	2.000000	3.000000
1.000000	31.000000	216.086644	483.691941	2.000000	2.000000
1.000000	32.000000	313.372054	505.087398	2.000000	3.000000
1.000000	33.000000	411.720540	436.656437	2.000000	3.000000
1.000000	34.000000	537.538596	460.015997	2.000000	2.000000
1.000000	35.000000	645.169216	451.083293	2.000000	3.000000
1.000000	36.000000	761.215738	499.875856	1.000000	4.000000
1.000000	37.000000	886.521927	470.021162	2.000000	2.000000
1.000000	38.000000	982.416548	458.954579	1.000000	1.000000
1.000000	39.000000	1099.562869	454.451695	2.000000	3.000000
1.000000	40.000000	1180.825897	485.597581	2.000000	3.000000
1.000000	41.000000	207.903463	577.759701	2.000000	2.000000
1.000000	42.000000	290.158386	585.005734	2.000000	2.000000
1.000000	43.000000	417.129653	576.128234	1.000000	1.000000
1.000000	44.000000	537.315515	570.106071	2.000000	3.000000
1.000000	45.000000	631.114824	548.632133	2.000000	2.000000
1.000000	46.000000	735.104423	596.646758	1.000000	1.000000
1.000000	47.000000	871.168270	592.163825	2.000000	3.000000
1.000000	48.000000	984.716844	608.724556	2.000000	2.000000
1.000000	49.000000	1065.908488	611.926399	1.000000	4.000000
1.000000	50.000000	1177.179028	585.877685	1.000000	1.000000
1.000000	51.000000	217.328275	653.837855	2.000000	3.000000
1.000000	52.000000	321.310767	691.123378	2.000000	2.000000
1.000000	53.000000	422.672677	676.089650	1.000000	4.000000
1.000000	54.000000	536.604506	700.096308	1.000000	4.000000
1.000000	55.000000	651.142579	710.726894	1.000000	1.000000
1.000000	56.000000	756.003818	676.476464	2.000000	3.000000
1.000000	57.000000	858.708806	675.573740	2.000000	3.000000
1.000000	58.000000	968.469386	687.260241	2.000000	2.000000
1.000000	59.000000	1076.251326	658.584273	1.000000	4.000000
1.000000	60.000000	1187.866449	712.701297	2.000000	3.000000
1.000000	61.000000	191.245815	819.898297	2.000000	2.000000
1.000000	62.000000	326.806246	774.176705	1.000000	4.000000
1.000000	63.000000	442.980988	765.774136	1.000000	4.000000
1.000000	64.000000	523.420360	757.393626	1.000000	4.000000
1.000000	65.000000	640.129481	773.226711	1.000000	1.000000
1.000000	66.000000	744.772551	777.046014	1.000000	4.000000
1.000000	67.000000	880.366292	805.081122	1.000000	1.000000
1.000000	68.000000	958.263088	787.963098	1.000000	1.000000
1.000000	69.000000	1063.054159	793.410089	2.000000	2.000000
1.000000	70.000000	1168.311694	797.880664	1.000000	4.000000
1.000000	71.000000	216.022946	901.673944	2.000000	2.000000
1.000000	72.000000	329.662322	861.869772	2.000000	3.000000
1.000000	73.000000	436.355967	921.106669	2.000000	2.000000
1.000000	74.000000	532.018412	889.182262	1.000000	4.000000
1.000000	75.000000	638.997468	905.022434	1.000000	4.000000
1.000000	76.000000	757.167553	869.588030	1.000000	1.000000
1.000000	77.000000	885.160929	883.391858	1.000000	1.000000
1.000000	78.000000	994.194450	912.619589	2.000000	3.000000
1.000000	79.000000	1075.424584	874.442341	1.000000	1.000000
1.000000	80.000000	1211.289177	902.544896	2.000000	2.000000
2.000000	1.000000	215.039514	123.978496	2.000000	2.000000
2.000000	2.000000	340.121522	126.429068	2.000000	3.000000
2.000000	3.000000	450.735162	143.189845	2.000000	3.000000
2.000000	4.000000	511.336735	122.766574	2.000000	3.000000
2.000000	5.000000	632.533007	160.599460	1.000000	4.000000
2.000000	6.000000	763.054008	145.247231	2.000000	2.000000
2.000000	7.000000	845.310733	131.990685	1.000000	4.000000
2.000000	8.000000	986.127869	173.311746	2.000000	2.000000
2.000000	9.000000	1081.752139	135.162223	2.000000	3.000000
2.000000	10.000000	1207.581676	134.451737	1.000000	1.000000
2.000000	11.000000	191.369072	265.185630	1.000000	4.000000
2.000000	12.000000	309.770400	257.673019	1.000000	4.000000
2.000000	13.000000	440.471327	294.500998	2.000000	3.000000
2.000000	14.000000	519.712036	281.717633	2.000000	2.000000
2.000000	15.000000	640.562489	264.098057	1.000000	4.000000
2.000000	16.000000	748.375150	278.728266	2.000000	2.000000
2.000000	17.000000	883.853624	277.849826	1.000000	4.000000
2.000000	18.000000	973.094734	229.373655	1.000000	1.000000
2.000000	19.000000	1096.331946	237.711324	2.000000	3.000000
2.000000	20.000000	1206.872899	293.479691	2.000000	3.000000
2.000000	21.000000	179.701951	382.846028	2.000000	3.000000
2.000000	22.000000	319.890853	347.490209	2.000000	3.000000
2.000000	23.000000	430.702989	382.519457	2.000000	2.000000
2.000000	24.000000	515.628422	390.702751	1.000000	4.000000
2.000000	25.000000	628.881988	394.288020	2.000000	2.000000
2.000000	26.000000	739.646037	385.396623	2.000000	2.000000
2.000000	27.000000	843.183684	394.964044	2.000000	2.000000
2.000000	28.000000	948.228856	385.971681	2.000000	3.000000
2.000000	29.000000	1071.014609	368.609519	1.000000	4.000000
2.000000	30.000000	1213.184443	384.581643	2.000000	2.000000
2.000000	31.000000	222.779480	459.598558	1.000000	1.000000
2.000000	32.000000	291.034626	440.687727	2.000000	3.000000
2.000000	33.000000	429.245823	506.943355	1.000000	1.000000
2.000000	34.000000	530.042667	483.600941	1.000000	4.000000
2.000000	35.000000	636.577482	490.727963	2.000000	3.000000
2.000000	36.000000	745.367281	450.233625	1.000000	4.000000
2.000000	37.000000	873.139212	447.968739	2.000000	2.000000
2.000000	38.000000	963.384541	492.480109	1.000000	4.000000
2.000000	39.000000	1060.645144	483.483715	1.000000	1.000000
2.000000	40.000000	1192.050748	503.481840	1.000000	1.000000
2.000000	41.000000	218.715496	586.272279	2.000000	2.000000
2.000000	42.000000	306.564605	603.456973	2.000000	3.000000
2.000000	43.000000	404.694705	578.181883	1.000000	1.000000
2.000000	44.000000	534.821025	559.757952	1.000000	4.000000
2.000000	45.000000	651.616553	588.439164	1.000000	1.000000
2.000000	46.000000	744.948769	544.469429	2.000000	2.000000
2.000000	47.000000	868.903216	577.220419	1.000000	1.000000
2.000000	48.000000	990.689842	578.491301	2.000000	3.000000
2.000000	49.000000	1105.554716	555.975575	2.000000	3.000000
2.000000	50.000000	1179.495630	567.742720	2.000000	2.000000
2.000000	51.000000	193.359541	677.444573	2.000000	2.000000
2.000000	52.000000	320.780367	698.273383	1.000000	4.000000
2.000000	53.000000	400.334617	696.496776	2.000000	3.000000
2.000000	54.000000	546.314835	717.011685	1.000000	4.000000
2.000000	55.000000	645.024199	706.204935	1.000000	1.000000
2.000000	56.000000	740.188983	660.156423	1.000000	1.000000
2.000000	57.000000	869.640933	651.212291	1.000000	4.000000
2.000000	58.000000	969.653484	669.122927	2.000000	3.000000
2.000000	59.000000	1076.592182	684.049271	2.000000	3.000000
2.000000	60.000000	1213.133330	697.503264	1.000000	1.000000
2.000000	61.000000	211.212357	769.842045	2.000000	2.000000
2.000000	62.000000	341.791159	811.819070	1.000000	4.000000
2.000000	63.000000	436.895500	824.867688	1.000000	4.000000
2.000000	64.000000	510.521136	795.762062	1.000000	4.000000
2.000000	65.000000	671.612607	796.863393	2.000000	3.000000
2.000000	66.000000	773.144049	804.348124	1.000000	1.000000
2.000000	67.000000	883.604048	821.742923	2.000000	2.000000
2.000000	68.000000	997.879580	816.803325	1.000000	1.000000
2.000000	69.000000	1107.549725	803.733358	2.000000	2.000000
2.000000	70.000000	1195.425666	769.303324	2.000000	3.000000
