MultiTargForag_2	Participant_Code = 15
Search_Type = 1	CB_Targets = 2
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1.000000	1.000000	1.000000	477.000000	190.000000	3.000000	477.137312	195.730167	2.000000	6.850793
1.000000	2.000000	2.000000	477.000000	239.000000	13.000000	474.981233	253.353489	1.000000	7.825181
1.000000	3.000000	3.000000	359.000000	167.000000	2.000000	363.021571	164.878698	1.000000	8.800948
1.000000	4.000000	4.000000	179.000000	161.000000	1.000000	182.755208	165.333024	2.000000	10.695538
1.000000	5.000000	5.000000	231.000000	284.000000	11.000000	236.461993	296.544995	2.000000	11.567802
1.000000	6.000000	6.000000	206.000000	415.000000	21.000000	197.408030	408.861193	2.000000	12.800729
1.000000	7.000000	7.000000	230.000000	530.000000	31.000000	219.454343	538.600377	2.000000	13.711301
1.000000	8.000000	8.000000	329.000000	457.000000	22.000000	328.284693	454.249944	1.000000	14.616545
1.000000	9.000000	9.000000	483.000000	411.000000	23.000000	478.390183	422.144667	1.000000	15.431817
1.000000	10.000000	10.000000	504.000000	489.000000	33.000000	505.285990	498.264196	2.000000	16.215268
1.000000	11.000000	11.000000	579.000000	619.000000	44.000000	579.498391	630.176956	2.000000	18.151247
1.000000	12.000000	12.000000	356.000000	741.000000	52.000000	345.428426	743.166145	2.000000	19.271365
1.000000	13.000000	13.000000	182.000000	709.000000	41.000000	177.748563	701.639905	2.000000	20.224616
1.000000	14.000000	14.000000	182.000000	767.000000	51.000000	183.889641	769.652335	1.000000	20.857098
1.000000	15.000000	15.000000	315.000000	931.000000	62.000000	317.250370	940.049567	1.000000	21.711254
1.000000	16.000000	16.000000	329.000000	1061.000000	72.000000	320.247007	1060.311644	2.000000	22.527982
1.000000	17.000000	17.000000	204.000000	1039.000000	71.000000	194.956131	1034.832708	1.000000	23.425037
1.000000	18.000000	18.000000	639.000000	948.000000	64.000000	629.685572	953.926127	1.000000	25.056385
1.000000	19.000000	19.000000	726.000000	1046.000000	75.000000	726.959422	1057.951795	2.000000	26.041390
1.000000	20.000000	20.000000	785.000000	787.000000	55.000000	772.215362	797.407073	1.000000	26.952885
1.000000	21.000000	21.000000	886.000000	820.000000	56.000000	880.208563	831.313156	1.000000	27.784890
1.000000	22.000000	22.000000	826.000000	533.000000	36.000000	830.868217	523.894873	1.000000	28.871682
1.000000	23.000000	23.000000	777.000000	411.000000	25.000000	768.010264	415.695879	1.000000	29.695630
1.000000	24.000000	24.000000	773.000000	313.000000	15.000000	765.110434	300.878852	1.000000	30.464206
1.000000	25.000000	25.000000	715.000000	177.000000	5.000000	713.502935	177.123918	1.000000	31.119143
1.000000	26.000000	26.000000	642.000000	169.000000	4.000000	639.260750	182.070246	1.000000	31.663228
1.000000	27.000000	27.000000	885.000000	401.000000	26.000000	879.485751	414.437387	1.000000	32.847937
1.000000	28.000000	28.000000	860.000000	174.000000	6.000000	853.877280	165.116403	2.000000	33.816848
1.000000	29.000000	29.000000	966.000000	439.000000	27.000000	971.298430	447.967049	2.000000	34.641252
1.000000	30.000000	30.000000	984.000000	485.000000	37.000000	971.158127	500.238009	2.000000	35.216420
1.000000	31.000000	31.000000	1129.000000	649.000000	48.000000	1122.709535	651.660738	2.000000	36.264024
1.000000	32.000000	32.000000	1231.000000	391.000000	29.000000	1233.197286	388.030178	2.000000	37.207949
1.000000	33.000000	33.000000	1284.000000	314.000000	19.000000	1272.089555	329.005243	2.000000	37.935738
1.000000	34.000000	34.000000	1259.000000	121.000000	9.000000	1256.771046	135.848912	1.000000	38.736420
1.000000	35.000000	35.000000	1132.000000	131.000000	8.000000	1117.905520	136.320806	1.000000	39.575607
1.000000	36.000000	36.000000	1267.000000	494.000000	39.000000	1271.212616	501.554360	2.000000	40.777434
1.000000	37.000000	37.000000	1228.000000	751.000000	59.000000	1218.514937	746.942820	1.000000	41.799565
1.000000	38.000000	38.000000	1129.000000	802.000000	58.000000	1126.755887	810.503463	2.000000	43.273190
1.000000	39.000000	39.000000	1414.000000	941.000000	70.000000	1406.412192	951.467487	2.000000	44.327840
1.000000	40.000000	40.000000	1413.000000	1074.000000	80.000000	1412.824273	1071.386405	1.000000	45.407835
1.000000	1.000000	1.000000	737.000000	560.000000	35.000000	736.779928	572.730938	1.000000	0.965636
1.000000	2.000000	2.000000	847.000000	454.000000	26.000000	847.934547	454.426741	2.000000	2.117143
1.000000	3.000000	3.000000	717.000000	662.000000	45.000000	706.345761	676.487834	1.000000	3.117255
1.000000	4.000000	4.000000	648.000000	666.000000	44.000000	637.300486	666.531393	2.000000	3.701488
1.000000	5.000000	5.000000	639.000000	775.000000	54.000000	638.336413	787.976797	1.000000	4.380855
1.000000	6.000000	6.000000	714.000000	815.000000	55.000000	716.396968	822.913145	1.000000	4.940908
1.000000	7.000000	7.000000	769.000000	905.000000	65.000000	768.119986	912.458440	2.000000	5.686004
1.000000	8.000000	8.000000	733.000000	1026.000000	75.000000	722.782595	1030.830714	2.000000	6.468909
1.000000	9.000000	9.000000	650.000000	918.000000	64.000000	637.427699	923.147627	1.000000	7.293916
1.000000	10.000000	10.000000	503.000000	833.000000	53.000000	493.028058	827.569528	2.000000	8.357298
1.000000	11.000000	11.000000	468.000000	896.000000	63.000000	462.768067	912.291375	2.000000	9.422354
1.000000	12.000000	12.000000	389.000000	1012.000000	72.000000	380.254805	1013.945832	2.000000	10.221733
1.000000	13.000000	13.000000	240.000000	1003.000000	71.000000	246.351969	999.750112	1.000000	10.813415
1.000000	14.000000	14.000000	219.000000	806.000000	51.000000	212.011343	787.185204	1.000000	11.548775
1.000000	15.000000	15.000000	207.000000	679.000000	41.000000	205.339227	703.151955	1.000000	12.302147
1.000000	16.000000	16.000000	184.000000	502.000000	31.000000	178.425768	500.655955	1.000000	13.590379
1.000000	17.000000	17.000000	359.000000	564.000000	32.000000	362.057265	580.368351	1.000000	14.495019
1.000000	18.000000	18.000000	456.000000	505.000000	33.000000	467.591539	495.955267	1.000000	15.061295
1.000000	19.000000	19.000000	494.000000	416.000000	23.000000	507.007593	400.209166	2.000000	16.061484
1.000000	20.000000	20.000000	468.000000	237.000000	13.000000	468.513109	250.979603	2.000000	17.189919
1.000000	21.000000	21.000000	612.000000	203.000000	4.000000	617.590961	198.437777	2.000000	17.797586
1.000000	22.000000	22.000000	1105.000000	132.000000	8.000000	1102.422810	144.007388	2.000000	18.901114
1.000000	23.000000	23.000000	1007.000000	322.000000	17.000000	1003.475491	321.272941	2.000000	20.446527
1.000000	24.000000	24.000000	1002.000000	428.000000	27.000000	994.312011	440.742374	1.000000	21.037903
1.000000	25.000000	25.000000	1015.000000	535.000000	37.000000	1016.269239	553.505673	1.000000	21.654825
1.000000	26.000000	26.000000	1159.000000	431.000000	28.000000	1152.020189	427.888442	1.000000	22.325598
1.000000	27.000000	27.000000	1226.000000	406.000000	29.000000	1231.680402	401.575549	2.000000	22.925105
1.000000	28.000000	28.000000	1374.000000	450.000000	30.000000	1378.394316	455.994176	1.000000	23.957060
1.000000	29.000000	29.000000	1362.000000	558.000000	40.000000	1358.615456	566.037771	1.000000	24.557833
1.000000	30.000000	30.000000	1239.000000	578.000000	39.000000	1233.192424	578.703689	2.000000	25.238238
1.000000	31.000000	31.000000	1253.000000	632.000000	49.000000	1251.543218	651.587528	2.000000	25.972790
1.000000	32.000000	32.000000	1419.000000	935.000000	70.000000	1418.914860	953.810165	2.000000	27.230798
1.000000	33.000000	33.000000	1281.000000	923.000000	69.000000	1277.555946	918.380620	2.000000	28.206513
1.000000	34.000000	34.000000	1239.000000	987.000000	79.000000	1227.811415	996.807637	2.000000	28.917885
1.000000	35.000000	35.000000	1122.000000	918.000000	68.000000	1127.791775	912.287663	1.000000	29.471039
1.000000	36.000000	36.000000	1128.000000	800.000000	58.000000	1118.602731	791.126242	2.000000	30.254395
1.000000	37.000000	37.000000	993.000000	884.000000	67.000000	981.951822	895.546892	2.000000	30.950155
1.000000	38.000000	38.000000	1025.000000	1018.000000	77.000000	1010.610093	1012.183168	1.000000	31.564942
1.000000	39.000000	39.000000	1091.000000	1049.000000	78.000000	1096.251042	1058.607033	1.000000	32.061821
1.000000	40.000000	40.000000	883.000000	1035.000000	76.000000	875.200834	1025.526766	1.000000	32.653251
2.000000	1.000000	1.000000	732.000000	546.000000	35.000000	726.114702	549.896420	1.000000	0.680736
2.000000	2.000000	2.000000	726.000000	406.000000	25.000000	723.100559	402.568041	1.000000	1.385560
2.000000	3.000000	3.000000	711.000000	247.000000	15.000000	723.239251	262.045080	1.000000	2.096110
2.000000	4.000000	4.000000	643.000000	120.000000	4.000000	636.321171	127.966308	2.000000	3.424407
2.000000	5.000000	0.000000	610.000000	234.000000	14.000000	605.557001	261.108886	1.000000	4.016168
2.000000	6.000000	5.000000	610.000000	251.000000	14.000000	605.557001	261.108886	1.000000	4.375896
2.000000	7.000000	6.000000	606.000000	361.000000	24.000000	608.292269	377.005995	1.000000	4.936606
2.000000	8.000000	7.000000	590.000000	545.000000	34.000000	578.836009	536.644059	1.000000	5.536356
2.000000	9.000000	8.000000	520.000000	418.000000	23.000000	508.622296	403.375151	2.000000	6.199897
2.000000	10.000000	9.000000	448.000000	164.000000	3.000000	446.322944	175.732840	1.000000	6.952706
2.000000	11.000000	0.000000	390.000000	387.000000	22.000000	373.926640	411.978177	2.000000	7.673095
2.000000	12.000000	10.000000	384.000000	399.000000	22.000000	373.926640	411.978177	2.000000	8.009429
2.000000	13.000000	11.000000	720.000000	702.000000	45.000000	705.983030	706.588696	2.000000	9.385171
2.000000	14.000000	12.000000	468.000000	882.000000	63.000000	476.878633	879.393613	2.000000	10.233090
2.000000	15.000000	13.000000	476.000000	1008.000000	73.000000	473.501206	1003.777352	1.000000	10.913442
2.000000	16.000000	14.000000	570.000000	965.000000	64.000000	568.421727	951.770602	2.000000	11.409404
2.000000	17.000000	15.000000	602.000000	1038.000000	74.000000	612.806669	1052.578363	1.000000	11.864334
