MultiTargForag_1	Participant_Code = 3								
Search_Type = 1	CB_Targets = 1								
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
3	30	28	548	370	36	540.57051	363.094636	2	15.995997
3	31	29	492	265	25	483.030633	283.40132	2	16.556403
3	32	30	607	266	27	612.832329	274.621396	1	17.03614
3	33	31	631	217	17	623.701921	220.78729	1	17.371651
3	34	32	630	119	7	623.73898	130.229952	1	18.011667
3	35	33	665	193	18	686.932802	200.315333	1	18.474513
3	36	34	773	144	9	760.915513	137.212683	1	18.98057
3	37	35	777	206	19	764.141749	208.602391	1	19.27439
3	38	36	775	269	29	762.584005	287.974361	2	19.707659
3	39	37	824	353	40	836.271627	355.148034	2	20.194947
3	40	38	772	427	49	770.868399	419.002066	2	20.595265
3	41	39	857	408	50	833.687836	411.508565	2	20.906848
3	42	0	838	442	60	836.156134	473.400276	2	21.268333
3	43	40	843	455	60	836.156134	473.400276	2	21.571521
4	1	1	317	129	3	324.307567	132.298961	2	1.358678
4	2	2	271	198	12	262.06591	208.652081	1	1.815536
4	3	3	341	207	13	337.614958	209.107278	1	2.135164
4	4	4	317	263	23	324.443684	261.097181	1	2.488061
4	5	5	268	266	22	257.473374	266.851146	1	2.854901
4	6	6	168	283	21	178.683142	282.916685	1	3.447376
4	7	7	262	335	32	264.517455	348.652005	2	3.839133
4	8	8	200	469	51	190.182236	485.988691	2	4.368189
4	9	9	204	538	61	187.41486	543.823836	1	5.270192
4	10	10	186	639	71	185.21359	631.71027	2	5.928252
4	11	11	321	572	63	334.91561	574.8039	2	6.48773
4	12	0	339	511	53	338.928314	483.623544	2	6.862283
4	13	12	354	472	53	338.928314	483.623544	2	7.255598
4	14	13	404	493	54	403.859502	502.683041	1	7.750696
4	15	14	410	620	74	402.066592	627.501608	1	8.239718
4	16	15	538	418	46	541.548471	428.617216	1	9.207982
4	17	16	633	601	77	622.541723	615.087915	2	10.055357
4	18	17	829	548	70	833.903482	554.614585	2	10.80813
4	19	18	840	647	80	834.461806	648.349501	1	11.334573
4	20	19	835	489	60	830.714669	491.663685	1	11.895069
4	21	20	758	484	59	765.980572	484.286004	1	12.382281
4	22	21	685	471	58	698.893769	475.228534	1	12.862466
4	23	22	853	419	50	831.38938	411.137431	2	13.590332
4	24	23	785	416	49	766.969913	404.490857	2	14.087857
4	25	24	637	403	47	626.880206	408.123111	1	14.800135
4	26	25	618	356	37	622.845258	360.259558	2	15.254675
4	27	0	510	334	36	550.738689	348.268507	1	15.567845
4	28	26	533	335	36	550.738689	348.268507	1	15.911518
4	29	27	467	338	35	467.867199	349.009809	2	16.3837
4	30	28	538	286	26	543.788316	275.176269	1	16.967814
4	31	29	461	275	25	468.362754	269.589636	1	17.375185
4	32	30	419	251	24	410.99214	267.202611	1	17.856015
4	33	31	419	202	14	407.989498	206.773587	1	18.278278
4	34	32	477	213	15	480.636738	212.115374	2	18.631097
4	35	33	547	204	16	556.665912	207.774833	2	18.95823
4	36	34	616	211	17	628.088733	205.670644	2	19.319414
4	37	35	625	140	7	622.280773	146.041114	2	19.664401
4	38	36	625	266	27	619.810336	278.297741	2	20.119515
4	39	37	709	271	28	690.5756	273.022734	2	20.624151
4	40	38	704	135	8	699.334927	133.197965	2	21.126744
4	41	39	848	190	20	843.783889	195.850421	2	21.54997
4	42	40	841	162	10	837.35647	150.515807	1	21.887616
5	1	1	194	150	1	194.114839	146.728168	1	1.122362
5	2	2	195	275	21	191.43781	261.942294	1	1.740185
5	3	3	264	255	22	254.940983	261.279571	2	2.163895
5	4	4	184	337	31	181.709843	341.237522	2	2.819478
5	5	5	194	417	41	185.879165	430.906003	1	3.307513
5	6	6	256	422	42	253.17484	433.308712	2	3.714549
5	7	7	187	480	51	182.695301	491.96139	1	4.370487
5	8	8	259	485	52	263.401237	493.217025	2	4.740138
5	9	9	344	504	53	339.346937	505.035758	1	5.283734
