MultiTargForag_2	Participant_Code = 42
Search_Type = 2	CB_Targets = 3
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1.000000	1.000000	1.000000	632.000000	249.000000	15.000000	627.410885	240.303001	1.000000	6.643045
1.000000	2.000000	2.000000	660.000000	146.000000	5.000000	654.681160	151.580349	1.000000	11.208507
1.000000	3.000000	3.000000	572.000000	134.000000	4.000000	561.401584	129.803846	2.000000	12.783324
1.000000	4.000000	4.000000	533.000000	273.000000	14.000000	534.087988	269.456333	1.000000	14.207491
1.000000	5.000000	5.000000	414.000000	255.000000	13.000000	404.072329	246.280398	2.000000	15.127108
1.000000	6.000000	6.000000	303.000000	392.000000	22.000000	304.897562	391.164437	1.000000	16.727052
1.000000	7.000000	7.000000	298.000000	493.000000	32.000000	299.533606	499.521110	1.000000	18.575076
1.000000	8.000000	8.000000	209.000000	545.000000	41.000000	201.236066	543.799092	1.000000	19.495548
1.000000	9.000000	9.000000	198.000000	765.000000	61.000000	193.890369	777.644437	1.000000	20.688659
1.000000	10.000000	10.000000	438.000000	725.000000	53.000000	446.149331	719.221982	1.000000	22.415608
1.000000	11.000000	11.000000	230.000000	895.000000	71.000000	226.124370	905.567478	2.000000	23.624355
1.000000	12.000000	12.000000	430.000000	869.000000	73.000000	437.662841	875.909562	1.000000	26.903951
1.000000	13.000000	13.000000	455.000000	801.000000	63.000000	449.653461	791.934798	1.000000	27.486843
1.000000	14.000000	14.000000	534.000000	869.000000	74.000000	538.670108	875.034321	1.000000	28.446921
1.000000	15.000000	15.000000	558.000000	788.000000	64.000000	556.873409	783.350178	2.000000	29.144643
1.000000	16.000000	16.000000	619.000000	813.000000	65.000000	626.086464	814.106326	2.000000	29.880354
1.000000	17.000000	17.000000	743.000000	727.000000	56.000000	747.937935	707.055593	1.000000	31.672605
1.000000	18.000000	18.000000	944.000000	711.000000	58.000000	950.606831	707.348229	1.000000	32.696824
1.000000	19.000000	19.000000	886.000000	785.000000	67.000000	877.710304	789.209905	2.000000	33.487492
1.000000	20.000000	20.000000	1197.000000	817.000000	70.000000	1202.574306	822.494135	1.000000	36.552712
1.000000	21.000000	21.000000	1183.000000	669.000000	60.000000	1181.663626	657.177743	1.000000	37.662750
1.000000	22.000000	22.000000	1097.000000	777.000000	69.000000	1095.484060	778.191906	2.000000	38.384579
1.000000	23.000000	23.000000	1068.000000	617.000000	49.000000	1060.523953	606.052511	2.000000	39.383698
1.000000	24.000000	24.000000	1211.000000	591.000000	50.000000	1204.824936	577.798952	2.000000	40.312599
1.000000	25.000000	25.000000	1170.000000	492.000000	40.000000	1169.132172	478.511590	2.000000	41.215953
1.000000	26.000000	26.000000	1111.000000	352.000000	29.000000	1099.869636	344.614625	2.000000	42.271849
1.000000	27.000000	27.000000	1179.000000	343.000000	30.000000	1188.297705	333.488724	2.000000	43.272888
1.000000	28.000000	28.000000	866.000000	149.000000	7.000000	853.108636	154.054238	2.000000	44.487780
1.000000	29.000000	29.000000	871.000000	387.000000	27.000000	875.272626	390.773951	2.000000	46.088021
1.000000	30.000000	30.000000	541.000000	484.000000	34.000000	525.767667	486.423673	2.000000	47.454927
1.000000	31.000000	31.000000	542.000000	565.000000	44.000000	552.401748	585.527134	2.000000	48.200640
1.000000	32.000000	32.000000	454.000000	601.000000	43.000000	443.560023	597.815845	2.000000	48.880803
1.000000	33.000000	33.000000	655.000000	352.000000	25.000000	647.903586	339.841895	1.000000	50.071105
1.000000	34.000000	34.000000	979.000000	388.000000	28.000000	990.065035	385.321361	1.000000	51.335402
1.000000	35.000000	35.000000	843.000000	472.000000	37.000000	843.353726	464.177514	1.000000	51.894638
1.000000	36.000000	36.000000	1085.000000	259.000000	19.000000	1087.437344	255.996644	1.000000	52.728338
1.000000	37.000000	37.000000	1210.000000	133.000000	10.000000	1214.148481	117.680744	1.000000	53.903364
1.000000	38.000000	38.000000	293.000000	282.000000	12.000000	298.162583	280.000168	2.000000	56.280499
1.000000	39.000000	39.000000	242.000000	243.000000	11.000000	232.428582	229.981476	2.000000	57.079876
1.000000	40.000000	40.000000	222.000000	194.000000	1.000000	222.236726	177.809699	2.000000	57.799685
1.000000	1.000000	1.000000	712.000000	552.000000	46.000000	727.747041	560.203550	1.000000	1.869114
1.000000	2.000000	2.000000	750.000000	393.000000	26.000000	745.965448	379.843496	1.000000	2.830309
1.000000	3.000000	3.000000	653.000000	291.000000	15.000000	650.226697	278.315839	2.000000	3.917304
1.000000	4.000000	4.000000	548.000000	372.000000	24.000000	541.694237	373.159694	1.000000	4.677364
1.000000	5.000000	5.000000	765.000000	196.000000	6.000000	769.186110	187.263180	1.000000	5.381785
1.000000	6.000000	6.000000	545.000000	185.000000	4.000000	538.745683	173.026297	2.000000	5.934917
1.000000	7.000000	7.000000	463.000000	343.000000	23.000000	450.826399	358.259849	2.000000	6.517895
1.000000	8.000000	8.000000	339.000000	134.000000	2.000000	340.152361	120.331802	1.000000	7.397082
1.000000	9.000000	9.000000	192.000000	335.000000	21.000000	203.656428	340.783499	2.000000	8.213036
1.000000	10.000000	10.000000	276.000000	338.000000	22.000000	288.597861	336.493842	2.000000	9.214760
1.000000	11.000000	11.000000	410.000000	433.000000	33.000000	404.056171	437.590560	2.000000	10.645757
1.000000	12.000000	12.000000	417.000000	601.000000	43.000000	410.109069	609.813721	1.000000	12.222307
1.000000	13.000000	13.000000	332.000000	676.000000	52.000000	342.413897	674.932731	1.000000	13.334015
1.000000	14.000000	14.000000	407.000000	695.000000	53.000000	414.531784	701.653523	1.000000	13.782506
1.000000	15.000000	15.000000	453.000000	796.000000	63.000000	445.752620	780.744804	1.000000	14.583030
1.000000	16.000000	16.000000	626.000000	712.000000	55.000000	645.198684	707.004104	1.000000	15.389895
1.000000	17.000000	17.000000	639.000000	772.000000	65.000000	653.601120	768.104899	1.000000	15.789331
1.000000	18.000000	18.000000	520.000000	775.000000	64.000000	519.930665	774.778989	2.000000	16.374396
1.000000	19.000000	19.000000	538.000000	893.000000	74.000000	540.627886	876.393908	2.000000	17.070087
1.000000	20.000000	20.000000	409.000000	908.000000	73.000000	405.999311	899.275689	2.000000	17.837364
1.000000	21.000000	21.000000	331.000000	912.000000	72.000000	321.104060	906.282890	2.000000	18.261238
1.000000	22.000000	22.000000	194.000000	888.000000	71.000000	186.792972	878.732231	1.000000	19.438803
1.000000	23.000000	23.000000	185.000000	802.000000	61.000000	183.951770	788.936515	2.000000	20.332974
1.000000	24.000000	24.000000	727.000000	893.000000	76.000000	743.187475	895.056128	2.000000	21.614331
1.000000	25.000000	25.000000	865.000000	909.000000	77.000000	876.786852	912.319583	1.000000	22.455349
1.000000	26.000000	26.000000	850.000000	804.000000	67.000000	845.269055	794.564465	1.000000	23.013263
1.000000	27.000000	27.000000	781.000000	792.000000	66.000000	767.103366	783.623149	1.000000	23.982964
1.000000	28.000000	28.000000	853.000000	733.000000	57.000000	858.352286	718.088311	1.000000	24.893073
1.000000	29.000000	29.000000	957.000000	778.000000	68.000000	967.743283	777.321784	2.000000	25.447013
1.000000	30.000000	30.000000	1094.000000	814.000000	69.000000	1106.713691	822.678578	2.000000	26.094617
1.000000	31.000000	31.000000	1111.000000	707.000000	59.000000	1108.468424	694.396645	2.000000	26.846404
1.000000	32.000000	32.000000	1061.000000	918.000000	79.000000	1063.596906	924.543786	1.000000	27.462408
1.000000	33.000000	33.000000	1183.000000	724.000000	60.000000	1187.952180	708.314023	1.000000	28.175074
1.000000	34.000000	34.000000	1080.000000	587.000000	49.000000	1073.544185	578.683969	1.000000	30.622833
1.000000	35.000000	35.000000	1053.000000	383.000000	29.000000	1060.167633	368.903230	2.000000	32.350434
1.000000	36.000000	36.000000	891.000000	401.000000	27.000000	878.143489	393.711753	2.000000	33.439043
1.000000	37.000000	37.000000	1213.000000	297.000000	20.000000	1214.146655	286.927231	1.000000	34.422973
1.000000	38.000000	38.000000	1203.000000	206.000000	10.000000	1205.510150	184.538949	2.000000	35.493131
1.000000	39.000000	39.000000	875.000000	147.000000	7.000000	874.868910	132.605672	2.000000	37.373149
1.000000	40.000000	40.000000	537.000000	621.000000	44.000000	550.249975	607.543067	2.000000	41.871067
2.000000	1.000000	1.000000	850.000000	572.000000	47.000000	842.459579	567.875568	2.000000	2.549298
2.000000	2.000000	2.000000	971.000000	491.000000	38.000000	960.641903	491.357103	1.000000	3.349627
2.000000	3.000000	3.000000	904.000000	441.000000	37.000000	889.230722	436.493114	2.000000	4.373455
2.000000	4.000000	4.000000	967.000000	400.000000	28.000000	963.862922	391.754242	2.000000	4.877464
2.000000	5.000000	5.000000	954.000000	288.000000	18.000000	948.194393	288.689896	2.000000	5.597870
2.000000	6.000000	6.000000	1084.000000	485.000000	39.000000	1093.428522	486.257909	2.000000	6.244852
2.000000	7.000000	7.000000	1180.000000	454.000000	40.000000	1186.757269	446.819534	2.000000	6.861362
2.000000	8.000000	8.000000	1208.000000	402.000000	30.000000	1211.226451	388.419208	1.000000	7.460785
2.000000	9.000000	9.000000	965.000000	168.000000	8.000000	963.528178	148.981884	1.000000	8.491960
2.000000	10.000000	10.000000	875.000000	176.000000	7.000000	854.122565	171.874649	2.000000	10.316766
2.000000	11.000000	11.000000	764.000000	148.000000	6.000000	767.625560	146.505290	1.000000	11.180866
2.000000	12.000000	12.000000	730.000000	253.000000	16.000000	728.696572	260.344515	1.000000	11.892865
2.000000	13.000000	0.000000	446.000000	164.000000	3.000000	430.214826	136.608201	1.000000	14.509049
2.000000	14.000000	13.000000	437.000000	152.000000	3.000000	430.214826	136.608201	1.000000	14.780035
2.000000	15.000000	14.000000	319.000000	240.000000	12.000000	321.430664	234.187018	2.000000	15.573687
2.000000	16.000000	15.000000	212.000000	381.000000	21.000000	211.172747	390.240954	1.000000	16.619877
2.000000	17.000000	16.000000	339.000000	380.000000	22.000000	327.333374	378.939344	1.000000	17.276615
2.000000	18.000000	17.000000	311.000000	447.000000	32.000000	306.333650	458.020271	1.000000	17.917953
2.000000	19.000000	18.000000	225.000000	546.000000	41.000000	221.758525	543.833699	2.000000	18.573443
2.000000	20.000000	19.000000	334.000000	559.000000	42.000000	329.429908	558.574602	2.000000	19.108800
2.000000	21.000000	20.000000	408.000000	486.000000	33.000000	415.881694	476.081846	2.000000	19.964215
2.000000	22.000000	21.000000	322.000000	651.000000	52.000000	322.654735	655.364663	1.000000	21.756615
2.000000	23.000000	22.000000	184.000000	811.000000	61.000000	184.199129	805.566026	2.000000	22.539994
2.000000	24.000000	23.000000	291.000000	800.000000	62.000000	303.534449	797.072554	2.000000	23.117182
2.000000	25.000000	24.000000	404.000000	762.000000	63.000000	405.539358	761.973180	2.000000	23.741247
2.000000	26.000000	25.000000	505.000000	766.000000	64.000000	513.334362	771.348378	2.000000	24.294216
2.000000	27.000000	26.000000	441.000000	932.000000	73.000000	437.014893	917.905704	2.000000	24.884525
2.000000	28.000000	27.000000	506.000000	887.000000	74.000000	513.311797	873.576521	1.000000	25.397122
2.000000	29.000000	28.000000	534.000000	663.000000	54.000000	530.365430	659.901103	2.000000	26.077941
2.000000	30.000000	29.000000	533.000000	615.000000	44.000000	537.253986	598.913599	1.000000	26.629603
2.000000	31.000000	30.000000	617.000000	764.000000	65.000000	628.977511	778.633182	2.000000	27.214004
2.000000	32.000000	31.000000	749.000000	676.000000	56.000000	750.544958	655.905910	1.000000	28.933338
2.000000	33.000000	32.000000	763.000000	861.000000	76.000000	753.101335	868.692557	1.000000	30.285103
2.000000	34.000000	33.000000	968.000000	788.000000	68.000000	956.764849	769.958726	2.000000	30.949518
2.000000	35.000000	34.000000	1168.000000	770.000000	70.000000	1169.922404	769.348115	2.000000	32.365336
2.000000	36.000000	35.000000	1074.000000	600.000000	49.000000	1073.919157	578.725165	4.000000	33.020324
3.000000	1.000000	1.000000	1208.000000	143.000000	10.000000	1217.600712	129.739119	1.000000	4.271358
3.000000	2.000000	2.000000	1209.000000	374.000000	30.000000	1208.710852	374.432004	1.000000	5.174316
3.000000	3.000000	3.000000	1217.000000	464.000000	40.000000	1213.904458	464.359669	2.000000	5.911050
3.000000	4.000000	4.000000	987.000000	578.000000	48.000000	982.097922	566.390081	2.000000	7.231384
3.000000	5.000000	5.000000	983.000000	687.000000	58.000000	976.480513	692.428189	2.000000	7.855842
3.000000	6.000000	6.000000	1091.000000	694.000000	59.000000	1076.642280	697.822846	2.000000	8.495366
3.000000	7.000000	7.000000	950.000000	803.000000	68.000000	949.346650	798.910490	2.000000	9.398210
3.000000	8.000000	8.000000	897.000000	920.000000	77.000000	886.626098	910.116311	2.000000	9.990464
3.000000	9.000000	9.000000	1095.000000	897.000000	79.000000	1097.945632	894.429745	2.000000	10.814565
3.000000	10.000000	10.000000	1208.000000	914.000000	80.000000	1217.067497	918.253054	2.000000	11.462182
3.000000	11.000000	11.000000	1179.000000	687.000000	60.000000	1175.329399	693.292975	1.000000	12.374402
3.000000	12.000000	12.000000	1170.000000	606.000000	50.000000	1168.925344	597.197783	1.000000	13.176026
3.000000	13.000000	13.000000	993.000000	436.000000	38.000000	998.625384	446.197982	1.000000	14.102040
3.000000	14.000000	14.000000	987.000000	359.000000	28.000000	980.004561	344.728208	1.000000	14.648045
3.000000	15.000000	15.000000	887.000000	247.000000	17.000000	878.725099	236.515465	1.000000	17.462209
3.000000	16.000000	16.000000	858.000000	383.000000	27.000000	862.422898	378.942270	1.000000	18.046700
3.000000	17.000000	17.000000	614.000000	194.000000	5.000000	626.379044	184.803683	1.000000	19.134144
3.000000	18.000000	18.000000	416.000000	269.000000	13.000000	418.697939	267.017153	1.000000	20.031303
3.000000	19.000000	19.000000	499.000000	393.000000	24.000000	517.388401	390.301780	1.000000	20.773906
3.000000	20.000000	20.000000	437.000000	539.000000	43.000000	426.633625	544.370742	1.000000	21.582965
3.000000	21.000000	21.000000	530.000000	592.000000	44.000000	534.120667	595.209828	1.000000	22.094938
3.000000	22.000000	22.000000	527.000000	660.000000	54.000000	523.842982	660.733815	1.000000	22.582980
3.000000	23.000000	23.000000	758.000000	697.000000	56.000000	757.465707	708.852827	1.000000	23.575701
3.000000	24.000000	24.000000	676.000000	703.000000	55.000000	665.486879	704.620112	1.000000	24.286089
3.000000	25.000000	25.000000	672.000000	783.000000	65.000000	671.048068	797.686697	1.000000	24.911444
3.000000	26.000000	26.000000	775.000000	909.000000	76.000000	775.485386	919.003752	1.000000	25.671213
3.000000	27.000000	27.000000	315.000000	802.000000	62.000000	305.137873	787.507954	1.000000	27.216019
3.000000	28.000000	28.000000	218.000000	213.000000	11.000000	218.303909	227.460901	1.000000	28.792016
3.000000	29.000000	29.000000	329.000000	244.000000	12.000000	333.882436	242.034253	2.000000	30.399586
3.000000	30.000000	30.000000	613.000000	276.000000	15.000000	618.688882	270.491936	2.000000	32.574431
3.000000	31.000000	31.000000	665.000000	351.000000	25.000000	667.855734	349.342578	2.000000	32.934183
3.000000	32.000000	32.000000	770.000000	391.000000	26.000000	772.569122	397.699946	2.000000	33.391257
3.000000	33.000000	33.000000	724.000000	237.000000	16.000000	733.167162	234.181330	2.000000	33.999284
3.000000	34.000000	34.000000	763.000000	172.000000	6.000000	761.796936	159.210548	2.000000	34.559201
3.000000	35.000000	35.000000	664.000000	590.000000	45.000000	661.485986	572.757787	2.000000	35.799903
3.000000	36.000000	36.000000	446.000000	713.000000	53.000000	432.980362	704.106061	2.000000	36.494565
