MultiTargForag_2	Participant_Code = 72
Search_Type = 1	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	1.000000	190.074619	166.517103	1.000000	3.000000
1.000000	2.000000	301.064661	181.402987	1.000000	1.000000
1.000000	3.000000	442.164408	134.724974	1.000000	2.000000
1.000000	4.000000	538.104185	118.566894	1.000000	1.000000
1.000000	5.000000	632.870579	182.368862	1.000000	3.000000
1.000000	6.000000	766.267119	186.294389	1.000000	3.000000
1.000000	7.000000	889.343285	137.821781	1.000000	3.000000
1.000000	8.000000	986.760309	124.613903	1.000000	3.000000
1.000000	9.000000	1085.668211	137.653254	1.000000	1.000000
1.000000	10.000000	1211.422806	153.333941	1.000000	2.000000
1.000000	11.000000	186.257768	283.455551	1.000000	2.000000
1.000000	12.000000	306.194577	280.732089	1.000000	2.000000
1.000000	13.000000	406.298588	268.531106	1.000000	3.000000
1.000000	14.000000	541.640040	265.270327	1.000000	2.000000
1.000000	15.000000	655.469521	230.341624	1.000000	4.000000
1.000000	16.000000	737.498353	262.049185	1.000000	4.000000
1.000000	17.000000	875.185431	228.334204	1.000000	4.000000
1.000000	18.000000	973.201341	268.842723	1.000000	4.000000
1.000000	19.000000	1084.025160	250.194922	1.000000	3.000000
1.000000	20.000000	1183.811662	226.432812	1.000000	3.000000
1.000000	21.000000	197.570842	344.076726	1.000000	3.000000
1.000000	22.000000	294.236477	330.364776	1.000000	1.000000
1.000000	23.000000	435.518555	335.633311	1.000000	1.000000
1.000000	24.000000	547.211167	361.345574	1.000000	2.000000
1.000000	25.000000	641.145529	385.811421	1.000000	3.000000
1.000000	26.000000	747.353738	380.065196	1.000000	3.000000
1.000000	27.000000	856.321242	341.254773	1.000000	4.000000
1.000000	28.000000	951.239736	363.944271	1.000000	2.000000
1.000000	29.000000	1083.584228	367.747461	1.000000	1.000000
1.000000	30.000000	1175.845739	385.284598	1.000000	2.000000
1.000000	31.000000	194.567707	494.926047	1.000000	2.000000
1.000000	32.000000	337.101766	482.215552	1.000000	1.000000
1.000000	33.000000	399.802372	484.578651	1.000000	4.000000
1.000000	34.000000	510.873625	442.672668	1.000000	2.000000
1.000000	35.000000	631.281633	507.008080	1.000000	3.000000
1.000000	36.000000	735.767938	502.525663	1.000000	1.000000
1.000000	37.000000	859.746003	478.113098	1.000000	4.000000
1.000000	38.000000	966.022618	444.588398	1.000000	1.000000
1.000000	39.000000	1064.346134	456.354204	1.000000	2.000000
1.000000	40.000000	1176.735005	498.444885	1.000000	2.000000
1.000000	41.000000	183.002088	581.419935	1.000000	4.000000
1.000000	42.000000	317.514181	589.158724	1.000000	1.000000
1.000000	43.000000	413.710739	595.837699	1.000000	2.000000
1.000000	44.000000	545.778997	588.106665	1.000000	2.000000
1.000000	45.000000	644.691295	594.803827	1.000000	4.000000
1.000000	46.000000	782.108300	589.666684	1.000000	3.000000
1.000000	47.000000	845.010078	595.173705	1.000000	2.000000
1.000000	48.000000	989.727516	551.851352	1.000000	3.000000
1.000000	49.000000	1097.417732	566.422752	1.000000	3.000000
1.000000	50.000000	1221.523505	584.297251	1.000000	2.000000
1.000000	51.000000	226.355487	662.124876	1.000000	3.000000
1.000000	52.000000	322.797094	703.098962	1.000000	4.000000
1.000000	53.000000	432.748622	666.953832	1.000000	4.000000
