MultiTargForag_2	Participant_Code = 31
Search_Type = 2	CB_Targets = 3
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1.000000	1.000000	1.000000	466.000000	362.000000	35.000000	467.127938	365.685751	1.000000	3.161243
1.000000	2.000000	2.000000	548.000000	342.000000	36.000000	551.487420	339.886805	2.000000	4.362076
1.000000	3.000000	3.000000	611.000000	343.000000	37.000000	614.561088	342.808098	1.000000	5.712688
1.000000	4.000000	4.000000	632.000000	424.000000	47.000000	623.526688	431.265799	1.000000	7.817414
1.000000	5.000000	5.000000	688.000000	479.000000	58.000000	691.888869	486.242573	2.000000	9.824652
1.000000	6.000000	6.000000	622.000000	549.000000	67.000000	615.840952	557.856645	2.000000	10.929903
1.000000	7.000000	7.000000	695.000000	570.000000	68.000000	691.686756	571.985959	2.000000	11.784747
1.000000	8.000000	8.000000	628.000000	626.000000	77.000000	620.898662	638.545130	2.000000	12.447863
1.000000	9.000000	9.000000	565.000000	640.000000	76.000000	554.993440	648.052352	1.000000	13.464372
1.000000	10.000000	10.000000	548.000000	559.000000	66.000000	542.114621	551.039545	1.000000	14.632355
1.000000	11.000000	11.000000	554.000000	494.000000	56.000000	551.476673	500.115300	1.000000	15.345921
1.000000	12.000000	12.000000	336.000000	395.000000	43.000000	331.085511	405.287551	1.000000	17.655915
1.000000	13.000000	13.000000	391.000000	429.000000	44.000000	399.231973	432.398354	1.000000	18.921348
1.000000	14.000000	14.000000	329.000000	624.000000	73.000000	324.813327	638.765745	2.000000	20.626084
1.000000	15.000000	15.000000	257.000000	636.000000	72.000000	260.444692	640.794410	2.000000	21.440493
1.000000	16.000000	16.000000	262.000000	553.000000	62.000000	255.110028	553.955812	1.000000	22.496633
1.000000	17.000000	17.000000	198.000000	556.000000	61.000000	188.881075	557.868479	1.000000	23.280841
1.000000	18.000000	18.000000	198.000000	485.000000	51.000000	192.263356	498.907221	2.000000	25.824878
1.000000	19.000000	19.000000	192.000000	422.000000	41.000000	183.287231	412.839020	2.000000	26.689867
1.000000	20.000000	20.000000	259.000000	417.000000	42.000000	261.633917	415.284363	1.000000	27.345359
1.000000	21.000000	21.000000	754.000000	640.000000	79.000000	759.383393	648.140607	2.000000	30.440918
1.000000	22.000000	22.000000	841.000000	641.000000	80.000000	833.390074	634.667081	2.000000	31.344316
1.000000	23.000000	23.000000	839.000000	584.000000	70.000000	836.690820	574.088524	2.000000	32.192543
1.000000	24.000000	24.000000	764.000000	430.000000	49.000000	760.622444	431.887395	2.000000	34.479716
1.000000	25.000000	25.000000	838.000000	344.000000	40.000000	833.961866	339.728319	1.000000	35.376522
1.000000	26.000000	26.000000	839.000000	255.000000	30.000000	833.869321	260.911512	2.000000	37.233894
