AdaptChoice	Code = 63	Session = 1	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
63	1	1	0	1	0	1	11	50	0	2	3	2	1	1	19453	0	2	NaN
63	2	2	0	1	0	2	38	14	0	4	2	4	1	1	21224	0	2	1
63	3	3	0	1	0	3	2	24	0	3	4	4	2	1	21191	1	1	2
63	4	4	0	1	0	4	1	5	0	4	2	2	2	1	8330	1	1	1
63	5	5	0	1	0	5	25	19	0	2	5	2	1	1	13968	0	2	2
63	6	6	0	0	1	6	34	38	0	5	4	4	2	1	10585	1	1	2
63	7	7	0	0	1	7	36	38	0	5	2	5	1	1	3521	0	2	2
63	8	8	0	0	1	8	39	9	0	3	2	2	2	1	3805	1	1	2
63	9	9	0	0	1	9	33	22	0	4	3	4	1	1	13296	NaN	2	2
63	10	10	0	0	1	10	35	6	0	3	4	4	2	1	6230	0	1	2
63	1	1	1	1	0	1	51	53	0	4	3	3	2	1	8346	1	1	NaN
63	2	2	1	1	0	2	6	43	0	3	5	3	1	1	5457	0	2	2
63	3	3	1	1	0	3	4	47	0	2	5	5	2	1	6653	1	1	2
63	4	4	1	1	0	4	23	32	0	2	4	2	1	1	4466	0	2	2
63	5	5	1	1	0	5	25	46	0	2	5	5	2	1	5074	1	1	2
63	6	6	1	0	1	6	31	24	0	4	5	5	2	1	8122	1	1	1
63	7	7	1	0	1	7	30	39	0	5	2	2	2	1	4564	1	1	1
63	8	8	1	0	1	8	41	8	0	5	3	3	2	1	2606	1	1	1
63	9	9	1	0	1	9	14	12	0	3	4	3	1	1	5733	NaN	2	2
63	10	10	1	0	1	10	41	15	0	3	4	4	2	1	10506	0	1	2
63	11	11	1	0	1	11	21	8	0	4	2	2	2	1	4073	0	1	1
63	12	12	1	0	1	12	13	18	0	4	3	4	1	1	8273	1	2	2
63	13	13	1	2	0	1	54	46	0	3	5	5	2	1	6098	0	2	2
63	14	14	1	2	0	2	48	21	0	3	2	3	1	1	6707	1	1	2
63	15	15	1	2	0	3	27	41	0	3	4	4	2	1	9056	0	2	2
63	16	16	1	2	0	4	2	41	0	4	3	3	2	1	2173	0	2	1
63	17	17	1	2	0	5	29	30	0	2	5	2	1	1	7007	1	1	2
63	18	18	1	0	2	6	29	33	0	4	2	4	1	1	2363	1	1	1
63	19	19	1	0	2	7	40	27	0	5	2	5	1	1	5252	1	1	1
63	20	20	1	0	2	8	20	17	0	3	5	3	1	1	2552	1	1	1
63	21	21	1	0	2	9	24	3	0	2	3	2	1	1	5841	NaN	1	1
63	22	22	1	0	2	10	19	7	0	2	3	2	1	1	5385	0	1	1
63	23	23	1	0	2	11	52	1	0	5	4	4	2	1	8712	1	2	2
63	24	24	1	0	2	12	15	21	0	4	5	5	2	1	5818	1	2	1
63	25	25	1	1	0	1	26	39	0	2	3	3	2	1	5497	1	1	1
63	26	26	1	1	0	2	20	16	0	2	3	3	2	1	6098	1	1	1
63	27	27	1	1	0	3	3	16	0	2	5	5	2	1	2283	1	1	1
63	28	28	1	1	0	4	43	40	0	4	3	4	1	1	6803	0	2	2
63	29	29	1	1	0	5	44	28	0	5	2	2	2	1	10002	1	1	2
63	30	30	1	0	1	6	39	35	0	3	4	3	1	1	6230	0	2	2
63	31	31	1	0	1	7	53	27	0	2	5	5	2	1	24690	1	1	2
63	32	32	1	0	1	8	32	6	0	4	2	2	2	1	3792	1	1	1
63	33	33	1	0	1	9	37	54	0	5	4	5	1	1	9978	NaN	2	2
63	34	34	1	0	1	10	16	44	0	4	2	4	1	1	2770	1	2	1
63	35	35	1	0	1	11	46	28	0	2	5	5	2	1	5324	0	1	2
63	36	36	1	0	1	12	53	40	0	2	4	4	2	1	5553	0	1	1
63	37	37	1	2	0	1	48	45	0	4	3	4	1	1	10423	1	1	2
63	38	38	1	2	0	2	6	39	0	2	3	2	1	1	5208	1	1	1
63	39	39	1	2	0	3	24	44	0	2	4	2	1	1	4115	1	1	1
63	40	40	1	2	0	4	9	16	0	2	5	2	1	1	1772	1	1	1
63	41	41	1	2	0	5	36	3	0	3	2	3	1	1	1766	1	1	1
63	42	42	1	0	2	6	30	31	0	5	4	4	2	1	11063	0	2	2
63	43	43	1	0	2	7	22	15	0	4	3	4	1	1	4801	1	1	2
63	44	44	1	0	2	8	15	9	0	3	2	2	2	1	4576	0	2	2
63	45	45	1	0	2	9	4	13	0	3	2	2	2	1	11742	NaN	2	1
63	46	46	1	0	2	10	43	16	0	3	4	4	2	1	4994	1	2	1
63	47	47	1	0	2	11	21	22	0	3	5	5	2	1	14628	1	2	1
63	48	48	1	0	2	12	5	54	0	5	4	5	1	1	6714	0	1	2
63	49	49	1	1	0	1	10	35	0	3	2	3	1	1	3628	0	2	1
63	50	50	1	1	0	2	52	16	0	4	2	4	1	1	4211	0	2	1
63	51	51	1	1	0	3	14	16	0	4	5	4	1	1	2406	0	2	1
63	52	52	1	1	0	4	7	12	0	3	5	5	2	1	1396	1	1	2
63	53	53	1	1	0	5	4	37	0	3	4	4	2	1	2902	1	1	1
63	54	54	1	0	1	6	8	53	0	4	5	5	2	1	4298	1	1	1
63	55	55	1	0	1	7	37	23	0	2	4	2	1	1	9075	0	2	2
63	56	56	1	0	1	8	3	10	0	4	2	4	1	1	3716	0	2	1
63	57	57	1	0	1	9	42	8	0	5	2	2	2	1	8989	NaN	1	2
63	58	58	1	0	1	10	22	51	0	5	2	2	2	1	9321	0	1	1
63	59	59	1	0	1	11	20	10	0	5	2	2	2	1	18391	0	1	1
63	60	60	1	0	1	12	11	37	0	2	4	4	2	1	3725	0	1	1
63	61	61	1	2	0	1	37	18	0	4	5	5	2	1	2210	0	2	1
63	62	62	1	2	0	2	10	35	0	2	4	4	2	1	2653	0	2	1
63	63	63	1	2	0	3	31	29	0	2	3	2	1	1	8188	1	1	2
63	64	64	1	2	0	4	37	45	0	5	3	5	1	1	3448	1	1	1
63	65	65	1	2	0	5	15	21	0	5	3	3	2	1	11199	0	2	2
63	66	66	1	0	2	6	11	39	0	3	2	3	1	1	2791	1	1	2
63	67	67	1	0	2	7	42	38	0	5	4	4	2	1	11141	0	2	2
63	68	68	1	0	2	8	10	29	0	4	5	4	1	1	4625	1	1	2
63	69	69	1	0	2	9	8	36	0	3	2	3	1	1	2952	NaN	1	1
63	70	70	1	0	2	10	18	3	0	5	2	5	1	1	5269	0	1	1
63	71	71	1	0	2	11	52	24	0	3	4	4	2	1	10302	1	2	2
63	72	72	1	0	2	12	4	9	0	4	5	5	2	1	12100	1	2	1
63	73	73	1	1	0	1	14	47	0	5	4	4	2	1	3091	1	1	1
63	74	74	1	1	0	2	36	33	0	5	3	5	1	1	4235	0	2	2
63	75	75	1	1	0	3	32	53	0	3	2	3	1	1	4287	0	2	1
63	76	76	1	1	0	4	20	49	0	3	4	3	1	1	4987	0	2	1
63	77	77	1	1	0	5	42	10	0	5	3	5	1	1	11038	0	2	1
63	78	78	1	0	1	6	52	44	0	2	4	4	2	1	7787	1	1	2
63	79	79	1	0	1	7	27	16	0	4	2	4	1	1	4934	0	2	2
63	80	80	1	0	1	8	28	31	0	5	4	4	2	1	6716	1	1	2
63	81	81	1	0	1	9	26	39	0	4	5	4	1	1	5270	NaN	2	2
63	82	82	1	0	1	10	24	25	0	5	2	5	1	1	3998	1	2	1
63	83	83	1	0	1	11	17	14	0	4	3	3	2	1	5244	0	1	2
63	84	84	1	0	1	12	51	43	0	4	2	4	1	1	3612	1	2	2
63	85	85	1	2	0	1	13	33	0	5	4	5	1	1	4511	1	1	1
63	86	86	1	2	0	2	49	37	0	5	3	5	1	1	5036	1	1	1
63	87	87	1	2	0	3	14	28	0	5	3	5	1	1	2032	1	1	1
63	88	88	1	2	0	4	19	48	0	3	5	3	1	1	4531	1	1	1
63	89	89	1	2	0	5	23	50	0	5	3	5	1	1	2680	1	1	1
63	90	90	1	0	2	6	27	30	0	2	3	3	2	1	5396	0	2	2
63	91	91	1	0	2	7	11	33	0	3	5	3	1	1	5283	1	1	2
63	92	92	1	0	2	8	45	6	0	2	3	2	1	1	4472	1	1	1
63	93	93	1	0	2	9	19	29	0	2	4	2	1	1	3016	NaN	1	1
63	94	94	1	0	2	10	42	16	0	3	5	3	1	1	7030	0	1	1
63	95	95	1	0	2	11	51	17	0	2	5	2	1	1	4810	0	1	1
63	96	96	1	0	2	12	40	46	0	4	3	4	1	1	4633	0	1	1
63	97	1	2	1	0	1	43	37	0	4	2	3	0	0	4016	NaN	NaN	NaN
63	98	2	2	1	0	2	16	25	0	3	4	4	2	1	14442	1	1	NaN
63	99	3	2	1	0	3	11	24	0	3	5	5	2	1	13812	1	1	1
63	100	4	2	1	0	4	35	43	0	2	5	2	1	1	5705	0	2	2
63	101	5	2	1	0	5	16	8	0	2	3	2	1	1	19778	0	2	1
63	102	6	2	0	1	6	33	12	0	5	4	5	1	1	3516	0	2	1
63	103	7	2	0	1	7	42	10	0	3	5	3	1	1	3853	0	2	1
63	104	8	2	0	1	8	30	47	0	3	2	3	1	1	2893	0	2	1
63	105	9	2	0	1	9	22	26	0	3	5	3	1	1	5445	NaN	2	1
63	106	10	2	0	1	10	15	53	0	3	4	4	2	1	7965	0	1	2
63	107	11	2	0	1	11	42	35	0	3	4	4	2	1	14544	0	1	1
63	108	12	2	0	1	12	23	50	0	3	2	3	1	1	4268	1	2	2
63	109	13	2	2	0	1	25	37	0	5	2	2	2	1	9588	0	2	2
63	110	14	2	2	0	2	37	41	0	5	2	2	2	1	11568	0	2	1
63	111	15	2	2	0	3	8	13	0	4	3	4	1	1	2212	1	1	2
63	112	16	2	2	0	4	6	42	0	3	5	3	1	1	1886	1	1	1
63	113	17	2	2	0	5	1	33	0	2	3	2	1	1	1506	1	1	1
63	114	18	2	0	2	6	34	8	0	3	2	2	2	1	3486	0	2	2
63	115	19	2	0	2	7	30	26	0	5	4	5	1	1	12107	1	1	2
63	116	20	2	0	2	8	53	47	0	5	2	5	1	1	7121	1	1	1
63	117	21	2	0	2	9	1	40	0	5	3	5	1	1	2227	NaN	1	1
63	118	22	2	0	2	10	40	24	0	5	3	5	1	1	4682	0	1	1
63	119	23	2	0	2	11	35	15	0	5	2	5	1	1	4614	0	1	1
63	120	24	2	0	2	12	32	28	0	2	3	3	2	1	3201	1	2	2
63	121	25	2	1	0	1	37	54	0	2	4	4	2	1	8712	1	1	1
