AdaptChoice	Code = 59	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
59	1	1	0	1	0	1	2	9	0	4	2	2	2	1	2636	1	1	NaN
59	2	2	0	1	0	2	51	13	0	5	3	3	2	1	3790	1	1	1
59	3	3	0	1	0	3	4	7	0	4	5	3	0	0	7928	NaN	NaN	2
59	4	4	0	1	0	4	5	10	0	4	5	4	1	1	1909	0	2	NaN
59	5	5	0	1	0	5	27	19	0	5	4	4	2	1	7825	1	1	2
59	6	6	0	0	1	6	1	26	0	4	5	4	1	1	7505	0	2	2
59	7	7	0	0	1	7	7	9	0	2	5	2	1	1	1479	0	2	1
59	8	8	0	0	1	8	36	44	0	4	3	4	1	1	3779	0	2	1
59	9	9	0	0	1	9	11	26	0	2	3	2	1	1	2905	NaN	2	1
59	10	10	0	0	1	10	29	8	0	3	2	3	1	1	4141	1	2	1
59	1	1	1	1	0	1	4	52	0	2	3	3	2	1	10530	1	1	NaN
59	2	2	1	1	0	2	35	38	0	2	4	4	2	1	3289	1	1	1
59	3	3	1	1	0	3	42	40	0	5	2	2	2	1	1346	1	1	1
59	4	4	1	1	0	4	47	43	0	4	5	5	2	1	3723	1	1	1
59	5	5	1	1	0	5	33	3	0	5	3	3	2	1	1684	1	1	1
59	6	6	1	0	1	6	29	10	0	3	5	3	1	1	6063	0	2	2
59	7	7	1	0	1	7	32	50	0	2	3	2	1	1	1724	0	2	1
59	8	8	1	0	1	8	38	4	0	4	3	4	1	1	3076	0	2	1
59	9	9	1	0	1	9	53	35	0	3	4	3	1	1	4036	NaN	2	1
59	10	10	1	0	1	10	42	51	0	3	4	3	1	1	1711	1	2	1
59	11	11	1	0	1	11	22	46	0	3	4	3	1	1	3972	1	2	1
59	12	12	1	0	1	12	6	14	0	4	3	3	2	1	19034	0	1	2
59	13	13	1	2	0	1	2	25	0	3	5	3	1	1	5353	1	1	2
59	14	14	1	2	0	2	17	44	0	4	2	4	1	1	1835	1	1	1
59	15	15	1	2	0	3	36	23	0	2	5	5	2	1	7993	0	2	2
59	16	16	1	2	0	4	54	26	0	4	3	4	1	1	4889	1	1	2
59	17	17	1	2	0	5	50	4	0	4	3	4	1	1	2974	1	1	1
59	18	18	1	0	2	6	16	26	0	3	2	3	1	1	2615	1	1	1
59	19	19	1	0	2	7	26	53	0	2	4	2	1	1	1669	1	1	1
59	20	20	1	0	2	8	51	11	0	3	4	3	1	1	3689	1	1	1
59	21	21	1	0	2	9	25	22	0	2	4	2	1	1	1117	NaN	1	1
59	22	22	1	0	2	10	5	36	0	4	5	4	1	1	2417	0	1	1
59	23	23	1	0	2	11	14	12	0	5	4	5	1	1	2212	0	1	1
59	24	24	1	0	2	12	37	46	0	5	3	5	1	1	1818	0	1	1
59	25	25	1	1	0	1	44	2	0	5	3	5	1	1	6696	0	2	1
59	26	26	1	1	0	2	5	34	0	5	2	2	2	1	3093	1	1	2
59	27	27	1	1	0	3	39	25	0	5	3	3	2	1	2145	1	1	1
59	28	28	1	1	0	4	41	31	0	3	2	2	2	1	1734	1	1	1
59	29	29	1	1	0	5	3	10	0	3	2	2	2	1	2386	1	1	1
59	30	30	1	0	1	6	28	51	0	5	3	3	2	1	5373	1	1	1
59	31	31	1	0	1	7	45	11	0	3	5	5	2	1	1735	1	1	1
59	32	32	1	0	1	8	27	11	0	3	2	2	2	1	1391	1	1	1
59	33	33	1	0	1	9	2	42	0	5	4	4	2	1	3025	NaN	1	1
59	34	34	1	0	1	10	2	51	0	4	5	4	1	1	3372	1	2	2
59	35	35	1	0	1	11	8	18	0	5	3	5	1	1	3342	1	2	1
59	36	36	1	0	1	12	51	24	0	2	3	2	1	1	2791	1	2	1
59	37	37	1	2	0	1	16	6	0	4	2	4	1	1	3497	1	1	1
59	38	38	1	2	0	2	48	41	0	4	3	4	1	1	2538	1	1	1
59	39	39	1	2	0	3	45	34	0	5	4	5	1	1	3915	1	1	1
59	40	40	1	2	0	4	38	32	0	3	5	3	1	1	2487	1	1	1
59	41	41	1	2	0	5	13	7	0	3	5	3	1	1	2951	1	1	1
59	42	42	1	0	2	6	14	43	0	5	3	5	1	1	2381	1	1	1
59	43	43	1	0	2	7	27	47	0	2	5	2	1	1	1170	1	1	1
59	44	44	1	0	2	8	25	22	0	4	2	2	2	1	4167	0	2	2
59	45	45	1	0	2	9	45	51	0	2	4	2	1	1	4949	NaN	1	2
59	46	46	1	0	2	10	37	20	0	2	3	3	2	1	2279	1	2	2
59	47	47	1	0	2	11	48	35	0	2	5	5	2	1	4563	1	2	1
59	48	48	1	0	2	12	29	6	0	4	3	3	2	1	1209	1	2	1
59	49	49	1	1	0	1	47	29	0	4	5	5	2	1	2639	1	1	1
59	50	50	1	1	0	2	41	3	0	3	2	2	2	1	1262	1	1	1
59	51	51	1	1	0	3	50	17	0	4	2	2	2	1	796	1	1	1
59	52	52	1	1	0	4	13	45	0	2	3	3	2	1	3734	1	1	1
59	53	53	1	1	0	5	36	35	0	3	4	4	2	1	3031	1	1	1
59	54	54	1	0	1	6	29	53	0	3	4	4	2	1	4158	1	1	1
59	55	55	1	0	1	7	52	16	0	2	5	5	2	1	2055	1	1	1
59	56	56	1	0	1	8	39	31	0	5	4	4	2	1	2894	1	1	1
59	57	57	1	0	1	9	18	28	0	5	4	4	2	1	3491	NaN	1	1
59	58	58	1	0	1	10	13	53	0	5	4	4	2	1	5311	0	1	1
59	59	59	1	0	1	11	51	49	0	5	2	5	1	1	3340	1	2	2
59	60	60	1	0	1	12	41	32	0	2	3	2	1	1	3669	1	2	1
59	61	61	1	2	0	1	8	6	0	3	2	3	1	1	3633	1	1	1
59	62	62	1	2	0	2	49	27	0	5	2	5	1	1	3652	1	1	1
59	63	63	1	2	0	3	23	11	0	2	4	2	1	1	1540	1	1	1
59	64	64	1	2	0	4	38	44	0	5	2	5	1	1	1768	1	1	1
59	65	65	1	2	0	5	1	36	0	2	5	2	1	1	2986	1	1	1
59	66	66	1	0	2	6	20	13	0	2	5	2	1	1	1620	1	1	1
59	67	67	1	0	2	7	36	17	0	2	5	2	1	1	2198	1	1	1
