AdaptChoice	Code = 41	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
41	1	1	0	1	0	1	46	24	0	4	2	2	2	1	4382	1	1	NaN
41	2	2	0	1	0	2	22	1	0	4	5	5	2	1	7777	1	1	1
41	3	3	0	1	0	3	29	7	0	3	4	3	1	1	4791	0	2	2
41	4	4	0	1	0	4	42	40	0	3	4	3	1	1	13899	0	2	1
41	5	5	0	1	0	5	43	22	0	3	2	3	1	1	3987	0	2	1
41	6	6	0	0	1	6	41	35	0	4	2	2	2	1	7951	1	1	2
41	7	7	0	0	1	7	20	8	0	4	5	4	1	1	9066	0	2	2
41	8	8	0	0	1	8	9	54	0	3	2	2	2	1	2822	1	1	2
41	9	9	0	0	1	9	5	51	0	5	2	2	2	1	9271	NaN	1	1
41	10	10	0	0	1	10	48	44	0	3	5	3	1	1	5348	1	2	2
41	1	1	1	1	0	1	13	44	0	5	3	3	2	1	7558	1	1	NaN
41	2	2	1	1	0	2	11	7	0	2	3	2	1	1	6364	0	2	2
41	3	3	1	1	0	3	51	12	0	4	5	5	2	1	21663	1	1	2
41	4	4	1	1	0	4	47	53	0	4	5	5	2	1	3010	1	1	1
41	5	5	1	1	0	5	21	29	0	5	4	4	2	1	2110	1	1	1
41	6	6	1	0	1	6	47	13	0	3	2	3	1	1	3713	0	2	2
41	7	7	1	0	1	7	6	53	0	3	4	3	1	1	2547	0	2	1
41	8	8	1	0	1	8	23	14	0	4	3	3	2	1	5974	1	1	2
41	9	9	1	0	1	9	31	42	0	5	4	4	2	1	5410	NaN	1	1
41	10	10	1	0	1	10	21	34	0	2	4	2	1	1	3014	1	2	2
41	11	11	1	0	1	11	29	2	0	2	4	2	1	1	3986	1	2	1
41	12	12	1	0	1	12	22	4	0	3	5	3	1	1	3418	1	2	1
