AdaptChoice	Code = 34	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
34	1	1	0	1	0	1	9	21	0	2	4	3	0	0	7611	NaN	NaN	NaN
34	2	2	0	1	0	2	17	44	0	5	4	4	2	1	4413	1	1	NaN
34	3	3	0	1	0	3	48	5	0	3	2	3	1	1	3104	0	2	2
34	4	4	0	1	0	4	22	2	0	5	3	3	2	1	3919	1	1	2
34	5	5	0	1	0	5	49	20	0	2	3	3	2	1	4281	1	1	1
34	6	6	0	0	1	6	19	51	0	5	2	2	2	1	4863	1	1	1
34	7	7	0	0	1	7	18	20	0	4	3	3	2	1	3196	1	1	1
34	8	8	0	0	1	8	53	15	0	5	3	3	2	1	2764	1	1	1
34	9	9	0	0	1	9	49	44	0	4	5	4	1	1	8679	NaN	2	2
34	10	10	0	0	1	10	49	22	0	3	4	3	1	1	1868	1	2	1
34	1	1	1	1	0	1	13	12	0	2	4	2	1	1	7348	0	2	NaN
34	2	2	1	1	0	2	22	14	0	5	3	3	2	1	3338	1	1	2
34	3	3	1	1	0	3	7	51	0	4	2	2	2	1	1209	1	1	1
34	4	4	1	1	0	4	18	5	0	5	2	2	2	1	4602	1	1	1
34	5	5	1	1	0	5	50	36	0	5	2	2	2	1	4798	1	1	1
34	6	6	1	0	1	6	9	17	0	3	5	5	2	1	5522	1	1	1
34	7	7	1	0	1	7	48	34	0	3	5	3	1	1	2057	0	2	2
34	8	8	1	0	1	8	32	12	0	4	3	3	2	1	2107	1	1	2
34	9	9	1	0	1	9	17	30	0	5	3	5	1	1	1685	NaN	2	2
34	10	10	1	0	1	10	8	35	0	4	5	4	1	1	9408	1	2	1
34	11	11	1	0	1	11	53	40	0	4	2	2	2	1	2867	0	1	2
34	12	12	1	0	1	12	7	1	0	5	2	2	2	1	1769	0	1	1
34	13	13	1	2	0	1	24	2	0	2	3	2	1	1	5017	1	1	2
34	14	14	1	2	0	2	43	28	0	5	4	5	1	1	1673	1	1	1
34	15	15	1	2	0	3	29	42	0	4	2	2	2	1	1839	0	2	2
34	16	16	1	2	0	4	33	22	0	2	4	4	2	1	2384	0	2	1
34	17	17	1	2	0	5	7	27	0	5	4	4	2	1	2905	0	2	1
34	18	18	1	0	2	6	45	41	0	2	3	2	1	1	2859	1	1	2
34	19	19	1	0	2	7	20	43	0	2	5	2	1	1	1349	1	1	1
34	20	20	1	0	2	8	19	29	0	3	4	3	1	1	1936	1	1	1
34	21	21	1	0	2	9	34	18	0	4	5	4	1	1	2379	NaN	1	1
34	22	22	1	0	2	10	12	8	0	4	3	4	1	1	871	0	1	1
34	23	23	1	0	2	11	51	42	0	2	5	2	1	1	1494	0	1	1
34	24	24	1	0	2	12	45	19	0	5	4	5	1	1	7700	0	1	1
34	25	25	1	1	0	1	51	5	0	2	5	2	1	1	4658	0	2	1
34	26	26	1	1	0	2	46	6	0	2	5	2	1	1	1795	0	2	1
34	27	27	1	1	0	3	25	37	0	4	2	4	1	1	2859	0	2	1
34	28	28	1	1	0	4	2	39	0	3	2	2	2	1	7117	1	1	2
34	29	29	1	1	0	5	50	47	0	5	2	5	1	1	4387	0	2	2
34	30	30	1	0	1	6	3	37	0	5	3	5	1	1	4999	0	2	1
34	31	31	1	0	1	7	21	40	0	2	3	2	1	1	1591	0	2	1
34	32	32	1	0	1	8	32	48	0	4	2	2	2	1	4579	1	1	2
34	33	33	1	0	1	9	4	33	0	5	3	5	1	1	3770	NaN	2	2
